mode,size_mb,run,rank,time_s
mpi,1,1,0,0.0592369
mpi,1,1,1,0.059183
mpi,1,1,2,0.0585511
mpi,1,1,3,0.059397
mpi,1,2,0,0.0589756
mpi,1,2,1,0.0589466
mpi,1,2,2,0.0588607
mpi,1,2,3,0.0596397
mpi,1,3,0,0.0589989
mpi,1,3,1,0.0585606
mpi,1,3,2,0.059208
mpi,1,3,3,0.0593672
mpi,1,4,0,0.0600915
mpi,1,4,1,0.0608841
mpi,1,4,2,0.060812
mpi,1,4,3,0.0600934
mpi,1,5,0,0.0590237
mpi,1,5,1,0.0594283
mpi,1,5,2,0.0584612
mpi,1,5,3,0.0594415
mpi,1,6,0,0.0587266
mpi,1,6,1,0.058987
mpi,1,6,2,0.060284
mpi,1,6,3,0.0589302
mpi,1,7,0,0.0590376
mpi,1,7,1,0.05927
mpi,1,7,2,0.058593
mpi,1,7,3,0.0591192
mpi,1,8,0,0.0588811
mpi,1,8,1,0.0595057
mpi,1,8,2,0.0596288
mpi,1,8,3,0.0595843
mpi,1,9,0,0.0589429
mpi,1,9,1,0.0593332
mpi,1,9,2,0.0584716
mpi,1,9,3,0.0593745
mpi,1,10,0,0.0595237
mpi,1,10,1,0.0597038
mpi,1,10,2,0.0608669
mpi,1,10,3,0.0597038
mpi,50,1,0,4.35101
mpi,50,1,1,4.31293
mpi,50,1,2,4.33948
mpi,50,1,3,4.16581
mpi,50,2,0,4.41342
mpi,50,2,1,4.3957
mpi,50,2,2,4.37005
mpi,50,2,3,4.25762
mpi,50,3,0,4.4161
mpi,50,3,1,4.24257
mpi,50,3,2,4.33822
mpi,50,3,3,4.39864
mpi,50,4,0,4.47416
mpi,50,4,1,4.41717
mpi,50,4,2,4.45724
mpi,50,4,3,4.37136
mpi,50,5,0,4.45197
mpi,50,5,1,4.41312
mpi,50,5,2,4.44501
mpi,50,5,3,4.40365
mpi,50,6,0,4.41292
mpi,50,6,1,4.35173
mpi,50,6,2,4.4042
mpi,50,6,3,4.29792
mpi,50,7,0,4.4744
mpi,50,7,1,4.41055
mpi,50,7,2,4.46636
mpi,50,7,3,4.39782
mpi,50,8,0,4.37825
mpi,50,8,1,4.35822
mpi,50,8,2,4.33122
mpi,50,8,3,4.16191
mpi,50,9,0,4.40838
mpi,50,9,1,4.36322
mpi,50,9,2,4.37809
mpi,50,9,3,4.21226
mpi,50,10,0,4.4156
mpi,50,10,1,4.38986
mpi,50,10,2,4.37471
mpi,50,10,3,4.15537
mpi,100,1,0,9.08175
mpi,100,1,1,9.08489
mpi,100,1,2,8.76159
mpi,100,1,3,8.93959
mpi,100,2,0,9.04899
mpi,100,2,1,9.05129
mpi,100,2,2,8.70639
mpi,100,2,3,8.88271
mpi,100,3,0,9.22555
mpi,100,3,1,9.22435
mpi,100,3,2,8.69062
mpi,100,3,3,9.13518
mpi,100,4,0,9.02759
mpi,100,4,1,9.01539
mpi,100,4,2,8.70847
mpi,100,4,3,8.86382
mpi,100,5,0,9.02591
mpi,100,5,1,9.02192
mpi,100,5,2,8.83298
mpi,100,5,3,8.84255
mpi,100,6,0,9.00469
mpi,100,6,1,9.01689
mpi,100,6,2,8.70734
mpi,100,6,3,8.84483
mpi,100,7,0,8.98017
mpi,100,7,1,8.97936
mpi,100,7,2,8.53816
mpi,100,7,3,8.87288
mpi,100,8,0,9.07558
