mode,size_mb,run,rank,time_s
mpi,100,3,4,5.02789
mpi,100,3,5,5.30829
mpi,100,3,6,5.41544
mpi,100,3,7,5.47051
mpi,100,4,0,5.51334
mpi,100,4,1,5.49091
mpi,100,4,2,5.50184
mpi,100,4,3,5.48884
mpi,100,4,4,5.30534
mpi,100,4,5,5.43206
mpi,100,4,6,5.38372
mpi,100,4,7,5.34782
mpi,100,5,0,5.51951
mpi,100,5,1,5.41379
mpi,100,5,2,5.514
mpi,100,5,3,5.49546
mpi,100,5,4,5.47054
mpi,100,5,5,5.47201
mpi,100,5,6,5.36588
mpi,100,5,7,5.30947
mpi,100,6,0,5.49686
mpi,100,6,1,5.46397
mpi,100,6,2,5.50403
mpi,100,6,3,5.49299
mpi,100,6,4,5.37332
mpi,100,6,5,5.28573
mpi,100,6,6,5.31633
mpi,100,6,7,5.41869
mpi,100,7,0,5.51656
mpi,100,7,1,5.39132
mpi,100,7,2,5.51498
mpi,100,7,3,5.50426
mpi,100,7,4,5.45731
mpi,100,7,5,5.36231
mpi,100,7,6,5.32227
mpi,100,7,7,5.47774
mpi,100,8,0,5.50614
mpi,100,8,1,5.48466
mpi,100,8,2,5.51799
mpi,100,8,3,5.45779
mpi,100,8,4,5.30903
mpi,100,8,5,5.47926
mpi,100,8,6,5.39695
mpi,100,8,7,5.3436
mpi,100,9,0,5.51771
mpi,100,9,1,5.49942
mpi,100,9,2,5.52929
mpi,100,9,3,5.46579
mpi,100,9,4,5.19148
mpi,100,9,5,5.47649
mpi,100,9,6,5.48985
mpi,100,9,7,5.41487
mpi,100,10,0,5.49999
mpi,100,10,1,5.47633
mpi,100,10,2,5.51771
mpi,100,10,3,5.48978
mpi,100,10,4,5.28436
mpi,100,10,5,5.41548
mpi,100,10,6,5.38727
mpi,100,10,7,5.38114
mpi,200,1,0,11.3169
mpi,200,1,1,11.3747
mpi,200,1,2,11.3851
mpi,200,1,3,11.4182
mpi,200,1,4,11.4226
mpi,200,1,5,11.3253
mpi,200,1,6,10.643
mpi,200,1,7,11.0956
mpi,200,2,0,11.5719
mpi,200,2,1,11.5134
mpi,200,2,2,11.5917
mpi,200,2,3,11.1875
mpi,200,2,4,11.5955
mpi,200,2,5,11.4857
mpi,200,2,6,11.5671
mpi,200,2,7,11.4975
mpi,200,3,0,11.4955
mpi,200,3,1,11.5042
mpi,200,3,2,11.3845
mpi,200,3,3,11.3757
mpi,200,3,4,11.4707
mpi,200,3,5,11.2907
mpi,200,3,6,10.6541
mpi,200,3,7,11.1794
mpi,200,4,0,11.2813
mpi,200,4,1,11.5149
mpi,200,4,2,11.5438
mpi,200,4,3,11.5044
mpi,200,4,4,11.5269
mpi,200,4,5,11.1473
mpi,200,4,6,10.6771
mpi,200,4,7,11.451
mpi,200,5,0,11.5507
mpi,200,5,1,11.6187
mpi,200,5,2,11.4884
mpi,200,5,3,11.6295
mpi,200,5,4,11.5899
mpi,200,5,5,11.4244
mpi,200,5,6,11.1451
mpi,200,5,7,11.2827
mpi,200,6,0,11.39
mpi,200,6,1,11.2128
mpi,200,6,2,11.4095
mpi,200,6,3,11.3876
mpi,200,6,4,11.4494
mpi,200,6,5,11.2886
mpi,200,6,6,10.8636
mpi,200,6,7,11.3062
mpi,200,7,0,11.4303
mpi,200,7,1,11.1882
mpi,200,7,2,11.4126
mpi,200,7,3,11.4486
mpi,200,7,4,11.4369
mpi,200,7,5,11.0998
mpi,200,7,6,11.1818
mpi,200,7,7,11.4662
mpi,200,8,0,11.3654
mpi,200,8,1,11.3358
mpi,200,8,2,11.4132
mpi,200,8,3,11.425
mpi,200,8,4,11.3982
mpi,200,8,5,11.3371
mpi,200,8,6,10.5992
mpi,200,8,7,11.13
mpi,200,9,0,11.4485
mpi,200,9,1,11.4381
mpi,200,9,2,11.4707
mpi,200,9,3,11.343
mpi,200,9,4,11.4605
mpi,200,9,5,11.3006
mpi,200,9,6,10.8611
mpi,200,9,7,11.3605
mpi,200,10,0,11.5113
mpi,200,10,1,11.4843
mpi,200,10,2,11.4853
mpi,200,10,3,11.4706
mpi,200,10,4,11.5152
mpi,200,10,5,11.2631
mpi,200,10,6,11.5154
mpi,200,10,7,11.0424
mpi,500,1,0,29.5109
mpi,500,1,1,29.3478
mpi,500,1,2,29.0964
mpi,500,1,3,29.3997
mpi,500,1,4,29.5032
mpi,500,1,5,27.4043
mpi,500,1,6,28.3781
mpi,500,1,7,29.3641
mpi,500,2,0,30.0206
mpi,500,2,1,29.1021
mpi,500,2,2,29.6919
mpi,500,2,3,29.9511
mpi,500,2,4,30.0012
mpi,500,2,5,29.0397
mpi,500,2,6,29.4043
mpi,500,2,7,29.8755
mpi,500,3,0,29.6249
mpi,500,3,1,29.2118
mpi,500,3,2,29.2865
mpi,500,3,3,29.5027
mpi,500,3,4,29.6279
mpi,500,3,5,27.7848
mpi,500,3,6,28.7239
mpi,500,3,7,29.5689
mpi,500,4,0,29.5789
mpi,500,4,1,28.7672
mpi,500,4,2,29.4643
mpi,500,4,3,29.5446
mpi,500,4,4,29.4965
mpi,500,4,5,27.5263
mpi,500,4,6,29.2098
mpi,500,4,7,29.3203
mpi,500,5,0,29.6391
mpi,500,5,1,29.1816
mpi,500,5,2,29.0468
mpi,500,5,3,29.6486
mpi,500,5,4,29.6784
mpi,500,5,5,27.8718
mpi,500,5,6,29.4122
mpi,500,5,7,29.4341
mpi,500,6,0,29.6089
mpi,500,6,1,28.9293
mpi,500,6,2,29.0059
mpi,500,6,3,29.5738
mpi,500,6,4,29.6307
mpi,500,6,5,28.4008
mpi,500,6,6,29.2486
mpi,500,6,7,29.4971
mpi,500,7,0,29.5174
mpi,500,7,1,29.1063
mpi,500,7,2,29.2063
mpi,500,7,3,29.4691
mpi,500,7,4,29.5527
mpi,500,7,5,27.9818
mpi,500,7,6,28.672
mpi,500,7,7,29.3442
mpi,500,8,0,29.6666
mpi,500,8,1,29.1985
mpi,500,8,2,29.3984
mpi,500,8,3,29.7117
mpi,500,8,4,29.6417
mpi,500,8,5,27.7821
mpi,500,8,6,29.0484
mpi,500,8,7,29.5501
mpi,500,9,0,29.5844
mpi,500,9,1,29.2521
mpi,500,9,2,28.7846
mpi,500,9,3,29.5115
mpi,500,9,4,29.5922
mpi,500,9,5,27.6113
mpi,500,9,6,29.2539
mpi,500,9,7,29.5229
mpi,500,10,0,30.7505
mpi,500,10,1,30.4
mpi,500,10,2,29.7477
mpi,500,10,3,30.7674
mpi,500,10,4,30.7915
mpi,500,10,5,30.2416
mpi,500,10,6,30.3374
mpi,500,10,7,30.7999
