threads,size,avg_time_io_s,avg_time_alloc_s,avg_time_sa_s,avg_time_lcp_s,avg_time_lrs_scan_s,avg_time_compute_pure_s,avg_time_total_compute_s,avg_time_transfers_comm_s,avg_throughput_MBps,avg_speedup,avg_efficiency_pct,avg_memory_overhead_ratio_pct
2,1MB,0.000064,0.000585,0.004767,0.000452,0.000033,0.005219,0.005838,0.000000,9.248392,1.124322,56.216102,10.104056
2,50MB,0.002643,0.023241,0.364955,0.046530,0.001174,0.411485,0.435900,0.000000,5.822995,0.954347,47.717359,5.377993
2,100MB,0.005210,0.042126,0.897805,0.136797,0.002124,1.034602,1.078851,0.000000,4.609708,0.975271,48.763541,3.918462
2,200MB,0.010150,0.080198,2.174869,0.341110,0.003863,2.515980,2.600041,0.000000,3.790291,0.922337,46.116868,3.093156
2,500MB,0.023071,0.195458,6.270777,0.999792,0.009488,7.270569,7.475514,0.000000,3.276194,0.964173,48.208636,2.618991
