threads,size,run,time_io_s,time_alloc_s,time_sa_s,time_lcp_s,time_lrs_scan_s,time_compute_pure_s,time_total_compute_s,time_transfers_comm_s,throughput_MBps,speedup,efficiency_pct,memory_overhead_ratio_pct
2,1MB,1,0.000049,0.000442,0.004003,0.000330,0.000022,0.004333,0.004797,0.000000,10.989409,1.335977,66.798826,9.250076
2,1MB,2,0.000070,0.000565,0.005015,0.000475,0.000031,0.005490,0.006087,0.000000,8.674280,1.054528,52.726379,9.337118
2,1MB,3,0.000064,0.000719,0.005122,0.000483,0.000032,0.005605,0.006356,0.000000,8.495408,1.032782,51.639107,11.366222
2,1MB,4,0.000055,0.000589,0.005144,0.000481,0.000032,0.005625,0.006246,0.000000,8.466186,1.029230,51.461483,9.484896
2,1MB,5,0.000062,0.000623,0.003910,0.000332,0.000028,0.004243,0.004894,0.000000,11.223678,1.364456,68.222824,12.809841
2,1MB,6,0.000070,0.000590,0.005081,0.000511,0.000031,0.005592,0.006214,0.000000,8.515246,1.035194,51.759695,9.545857
2,1MB,7,0.000044,0.000451,0.004079,0.000400,0.000053,0.004479,0.004983,0.000000,10.632439,1.292580,64.628994,9.155817
2,1MB,8,0.000065,0.000597,0.005073,0.000457,0.000039,0.005530,0.006166,0.000000,8.610418,1.046764,52.338195,9.739076
2,1MB,9,0.000054,0.000651,0.005198,0.000567,0.000031,0.005766,0.006449,0.000000,8.258930,1.004034,50.201683,10.150080
2,1MB,10,0.000106,0.000628,0.005044,0.000482,0.000031,0.005526,0.006184,0.000000,8.617926,1.047677,52.383831,10.201578
2,50MB,1,0.002629,0.024639,0.409785,0.054536,0.001155,0.464321,0.490115,0.000000,5.127812,0.840412,42.020584,5.039062
2,50MB,2,0.002771,0.023859,0.379589,0.044324,0.001154,0.423913,0.448926,0.000000,5.616601,0.920521,46.026041,5.328324
2,50MB,3,0.002338,0.020653,0.371600,0.048405,0.001113,0.420005,0.441770,0.000000,5.668871,0.929087,46.454371,4.686926
2,50MB,4,0.002630,0.022847,0.377318,0.044495,0.001139,0.421813,0.445799,0.000000,5.644563,0.925104,46.255181,5.138160
2,50MB,5,0.002722,0.024447,0.333759,0.042667,0.001006,0.376426,0.401879,0.000000,6.325153,1.036647,51.832368,6.098428
2,50MB,6,0.002647,0.023369,0.327668,0.043362,0.001164,0.371030,0.395563,0.000000,6.417137,1.051723,52.586143,5.925135
2,50MB,7,0.002626,0.023367,0.329927,0.043242,0.001023,0.373169,0.397558,0.000000,6.380363,1.045696,52.284794,5.892800
2,50MB,8,0.002721,0.023539,0.334303,0.042940,0.001309,0.377243,0.402092,0.000000,6.311450,1.034402,51.720075,5.873332
2,50MB,9,0.002646,0.022774,0.392265,0.052456,0.001514,0.444721,0.469009,0.000000,5.353807,0.877451,43.872535,4.871487
2,50MB,10,0.002699,0.022913,0.393335,0.048877,0.001164,0.442212,0.466289,0.000000,5.384188,0.882430,44.121495,4.926280
2,100MB,1,0.005296,0.042197,0.864630,0.125161,0.001981,0.989791,1.033969,0.000000,4.811021,1.017862,50.893120,4.088926
2,100MB,2,0.005293,0.042295,0.877707,0.155739,0.002436,1.033446,1.078177,0.000000,4.607791,0.974865,48.743263,3.931683
2,100MB,3,0.005317,0.042057,0.893238,0.132429,0.002016,1.025667,1.069740,0.000000,4.642740,0.982259,49.112967,3.938939
2,100MB,4,0.005492,0.042056,0.879813,0.137348,0.002121,1.017161,1.061338,0.000000,4.681565,0.990474,49.523679,3.970489
2,100MB,5,0.004220,0.040895,0.934058,0.137580,0.001848,1.071638,1.114381,0.000000,4.443575,0.940122,47.006117,3.675880
2,100MB,6,0.005271,0.043525,0.885334,0.125217,0.001949,1.010551,1.056025,0.000000,4.712187,0.996952,49.847619,4.129209
2,100MB,7,0.005228,0.042240,0.871590,0.136815,0.002085,1.008405,1.052729,0.000000,4.722215,0.999074,49.953698,4.020348
2,100MB,8,0.005188,0.042142,0.938473,0.132956,0.002104,1.071429,1.115674,0.000000,4.444444,0.940306,47.015309,3.784378
2,100MB,9,0.005434,0.042086,0.967902,0.159777,0.002697,1.127679,1.172461,0.000000,4.222750,0.893403,44.670128,3.597816
2,100MB,10,0.005357,0.041765,0.865301,0.124949,0.002003,0.990250,1.034018,0.000000,4.808789,1.017390,50.869509,4.046948
2,200MB,1,0.010707,0.078742,2.324125,0.352156,0.003924,2.676281,2.758947,0.000000,3.558598,0.865957,43.297843,2.858111
2,200MB,2,0.011176,0.079736,2.247822,0.362716,0.003913,2.610538,2.694187,0.000000,3.648217,0.887765,44.388245,2.963867
2,200MB,3,0.007688,0.081958,2.224470,0.339015,0.003832,2.563485,2.649275,0.000000,3.715181,0.904060,45.203003,3.098090
2,200MB,4,0.007867,0.081615,2.090663,0.332173,0.003762,2.422836,2.508213,0.000000,3.930852,0.956542,47.827092,3.258779
2,200MB,5,0.011336,0.078779,2.252399,0.344161,0.003907,2.596560,2.679246,0.000000,3.667856,0.892544,44.627196,2.944619
2,200MB,6,0.008114,0.080640,2.164852,0.344223,0.003932,2.509076,2.593647,0.000000,3.795744,0.923664,46.183220,3.113838
2,200MB,7,0.011546,0.081112,2.088743,0.337415,0.003902,2.426158,2.511172,0.000000,3.925470,0.955232,47.761607,3.235065
2,200MB,8,0.011190,0.079329,2.089313,0.328657,0.003778,2.417970,2.501077,0.000000,3.938763,0.958467,47.923345,3.176596
2,200MB,9,0.010991,0.081401,2.200698,0.335319,0.003943,2.536017,2.621361,0.000000,3.755420,0.913852,45.692596,3.109961
2,200MB,10,0.010885,0.078667,2.065609,0.335268,0.003737,2.400877,2.483281,0.000000,3.966804,0.965291,48.264530,3.172629
2,500MB,1,0.021716,0.220910,6.254759,1.008127,0.009107,7.262885,7.492902,0.000000,3.278246,0.964777,48.238831,2.951845
2,500MB,2,0.023890,0.192441,6.385584,1.001283,0.008992,7.386867,7.588300,0.000000,3.223224,0.948584,47.429188,2.539028
2,500MB,3,0.023871,0.192036,6.498013,0.980740,0.009057,7.478753,7.679846,0.000000,3.183622,0.936929,46.846457,2.503471
2,500MB,4,0.023801,0.191645,6.510777,0.989204,0.009022,7.499981,7.700647,0.000000,3.174611,0.934277,46.713868,2.491608
2,500MB,5,0.023549,0.191130,6.115040,0.980123,0.009091,7.095163,7.295383,0.000000,3.355740,0.987583,49.379150,2.623140
2,500MB,6,0.024082,0.191670,6.343391,1.043888,0.009969,7.387279,7.588917,0.000000,3.223044,0.948531,47.426543,2.528975
2,500MB,7,0.021749,0.193483,6.189987,1.018500,0.009459,7.208486,7.411428,0.000000,3.302985,0.972057,48.602868,2.613940
2,500MB,8,0.023894,0.191162,6.064423,0.981152,0.008967,7.045574,7.245703,0.000000,3.379359,0.994534,49.726690,2.641546
2,500MB,9,0.024247,0.191496,6.158555,1.015164,0.012208,7.173719,7.377423,0.000000,3.318993,0.976768,48.838421,2.600011
2,500MB,10,0.019908,0.198602,6.187237,0.979743,0.009007,7.166980,7.374589,0.000000,3.322114,0.977687,48.884341,2.696348
