mode,size_mb,run,rank,threads,time_sa_local_s,time_comm_s,time_io_s,time_alloc_s
mpi+omp,1,1,0,2,0.001606,0.000030,0.001364,0.000002
mpi+omp,1,1,1,2,0.001608,0.000016,0.001362,0.000001
mpi+omp,1,1,2,2,0.001612,0.000023,0.001362,0.000001
mpi+omp,1,1,3,2,0.001598,0.000030,0.001362,0.000001
mpi+omp,1,2,0,2,0.001584,0.000030,0.001360,0.000001
mpi+omp,1,2,1,2,0.001602,0.000016,0.001360,0.000001
mpi+omp,1,2,2,2,0.001581,0.000023,0.001360,0.000001
mpi+omp,1,2,3,2,0.001581,0.000030,0.001360,0.000001
mpi+omp,1,3,0,2,0.001611,0.000029,0.001302,0.000001
mpi+omp,1,3,1,2,0.001615,0.000016,0.001302,0.000001
mpi+omp,1,3,2,2,0.001604,0.000022,0.001302,0.000001
mpi+omp,1,3,3,2,0.001604,0.000029,0.001302,0.000001
mpi+omp,1,4,0,2,0.001609,0.000031,0.001280,0.000001
mpi+omp,1,4,1,2,0.001618,0.000016,0.001280,0.000001
mpi+omp,1,4,2,2,0.001603,0.000024,0.001280,0.000001
mpi+omp,1,4,3,2,0.001615,0.000031,0.001280,0.000001
mpi+omp,1,5,0,2,0.001600,0.000030,0.001294,0.000001
mpi+omp,1,5,1,2,0.001607,0.000016,0.001294,0.000001
mpi+omp,1,5,2,2,0.001600,0.000022,0.001294,0.000001
mpi+omp,1,5,3,2,0.001600,0.000030,0.001294,0.000001
mpi+omp,1,6,0,2,0.001604,0.000029,0.001301,0.000002
mpi+omp,1,6,1,2,0.001629,0.000015,0.001300,0.000001
mpi+omp,1,6,2,2,0.001601,0.000022,0.001300,0.000001
mpi+omp,1,6,3,2,0.001618,0.000029,0.001300,0.000001
mpi+omp,1,7,0,2,0.001614,0.000031,0.001395,0.000001
mpi+omp,1,7,1,2,0.001630,0.000017,0.001395,0.000001
mpi+omp,1,7,2,2,0.001580,0.000023,0.001395,0.000001
mpi+omp,1,7,3,2,0.001600,0.000031,0.001393,0.000001
mpi+omp,1,8,0,2,0.001620,0.000031,0.001332,0.000001
mpi+omp,1,8,1,2,0.001624,0.000017,0.001332,0.000001
mpi+omp,1,8,2,2,0.001610,0.000024,0.001332,0.000001
mpi+omp,1,8,3,2,0.001610,0.000031,0.001332,0.000001
mpi+omp,1,9,0,2,0.001619,0.000030,0.001295,0.000001
mpi+omp,1,9,1,2,0.001619,0.000017,0.001294,0.000001
mpi+omp,1,9,2,2,0.001613,0.000024,0.001294,0.000001
mpi+omp,1,9,3,2,0.001604,0.000030,0.001294,0.000001
mpi+omp,1,10,0,2,0.001607,0.000033,0.001383,0.000001
mpi+omp,1,10,1,2,0.001617,0.000020,0.001383,0.000001
mpi+omp,1,10,2,2,0.001758,0.000025,0.001383,0.000001
mpi+omp,1,10,3,2,0.001592,0.000033,0.001382,0.000001
mpi+omp,50,1,0,2,0.153289,0.001406,0.003584,0.000001
mpi+omp,50,1,1,2,0.153300,0.000683,0.003584,0.000001
mpi+omp,50,1,2,2,0.154117,0.001063,0.003584,0.000001
mpi+omp,50,1,3,2,0.154877,0.001404,0.003584,0.000001
mpi+omp,50,2,0,2,0.153913,0.001270,0.003638,0.000001
mpi+omp,50,2,1,2,0.153532,0.000625,0.003638,0.000001
mpi+omp,50,2,2,2,0.151374,0.000948,0.003638,0.000001
mpi+omp,50,2,3,2,0.155043,0.001270,0.003638,0.000001
mpi+omp,50,3,0,2,0.153864,0.001345,0.003549,0.000001
mpi+omp,50,3,1,2,0.152656,0.000607,0.003549,0.000001
mpi+omp,50,3,2,2,0.152713,0.000995,0.003549,0.000001
mpi+omp,50,3,3,2,0.154413,0.001345,0.003549,0.000001
mpi+omp,50,4,0,2,0.154646,0.001085,0.003533,0.000001
mpi+omp,50,4,1,2,0.152751,0.000503,0.003533,0.000001
mpi+omp,50,4,2,2,0.152751,0.000795,0.003533,0.000001
mpi+omp,50,4,3,2,0.154626,0.001084,0.003533,0.000001
mpi+omp,50,5,0,2,0.154099,0.001332,0.003653,0.000001
mpi+omp,50,5,1,2,0.152945,0.000664,0.003653,0.000001
mpi+omp,50,5,2,2,0.152950,0.001016,0.003653,0.000001
mpi+omp,50,5,3,2,0.155018,0.001329,0.003653,0.000001
mpi+omp,50,6,0,2,0.153879,0.001047,0.003516,0.000001
mpi+omp,50,6,1,2,0.151857,0.000485,0.003516,0.000001
mpi+omp,50,6,2,2,0.151973,0.000788,0.003516,0.000001
mpi+omp,50,6,3,2,0.154084,0.001047,0.003516,0.000001
mpi+omp,50,7,0,2,0.153493,0.001661,0.003637,0.000001
mpi+omp,50,7,1,2,0.151065,0.000676,0.003639,0.000001
mpi+omp,50,7,2,2,0.153786,0.001133,0.003637,0.000001
mpi+omp,50,7,3,2,0.154312,0.001659,0.003637,0.000001
mpi+omp,50,8,0,2,0.152411,0.001359,0.003553,0.000002
mpi+omp,50,8,1,2,0.153668,0.000652,0.003553,0.000002
mpi+omp,50,8,2,2,0.149558,0.001015,0.003553,0.000002
mpi+omp,50,8,3,2,0.154122,0.001359,0.003553,0.000002
mpi+omp,50,9,0,2,0.153135,0.001312,0.003626,0.000002
mpi+omp,50,9,1,2,0.152474,0.000600,0.003626,0.000002
mpi+omp,50,9,2,2,0.152648,0.000946,0.003626,0.000002
mpi+omp,50,9,3,2,0.154422,0.001311,0.003626,0.000002
mpi+omp,50,10,0,2,0.156809,0.001642,0.003557,0.000001
mpi+omp,50,10,1,2,0.159193,0.000770,0.003557,0.000001
mpi+omp,50,10,2,2,0.156241,0.001227,0.003557,0.000001
mpi+omp,50,10,3,2,0.158030,0.001641,0.003556,0.000001
mpi+omp,100,1,0,2,0.326471,0.002968,0.006029,0.000001
mpi+omp,100,1,1,2,0.333364,0.001418,0.006029,0.000001
mpi+omp,100,1,2,2,0.330485,0.002235,0.006029,0.000001
mpi+omp,100,1,3,2,0.333186,0.002968,0.006029,0.000001
mpi+omp,100,2,0,2,0.332379,0.002664,0.006039,0.000001
mpi+omp,100,2,1,2,0.327559,0.001289,0.006039,0.000001
mpi+omp,100,2,2,2,0.324709,0.001956,0.006039,0.000001
mpi+omp,100,2,3,2,0.330810,0.002664,0.006039,0.000001
mpi+omp,100,3,0,2,0.331969,0.002752,0.005932,0.000001
mpi+omp,100,3,1,2,0.321625,0.001363,0.005932,0.000001
mpi+omp,100,3,2,2,0.329294,0.002029,0.005932,0.000001
mpi+omp,100,3,3,2,0.329037,0.002752,0.005932,0.000001
mpi+omp,100,4,0,2,0.324978,0.002844,0.006281,0.000001
mpi+omp,100,4,1,2,0.329721,0.001410,0.006279,0.000001
mpi+omp,100,4,2,2,0.318373,0.002126,0.006281,0.000001
mpi+omp,100,4,3,2,0.321732,0.002844,0.006279,0.000001
mpi+omp,100,5,0,2,0.331951,0.002943,0.005991,0.000001
mpi+omp,100,5,1,2,0.322613,0.001401,0.005991,0.000001
mpi+omp,100,5,2,2,0.327517,0.002194,0.005991,0.000001
mpi+omp,100,5,3,2,0.329207,0.002943,0.005991,0.000001
mpi+omp,100,6,0,2,0.320223,0.003109,0.005908,0.000001
mpi+omp,100,6,1,2,0.331873,0.001466,0.005908,0.000001
mpi+omp,100,6,2,2,0.328783,0.002263,0.005908,0.000001
mpi+omp,100,6,3,2,0.330860,0.003109,0.005908,0.000001
mpi+omp,100,7,0,2,0.333359,0.002880,0.008730,0.000001
mpi+omp,100,7,1,2,0.328291,0.001391,0.008731,0.000001
mpi+omp,100,7,2,2,0.326198,0.002119,0.008730,0.000001
mpi+omp,100,7,3,2,0.333136,0.002880,0.008731,0.000001
mpi+omp,100,8,0,2,0.335765,0.003648,0.006700,0.000001
mpi+omp,100,8,1,2,0.330101,0.001841,0.006700,0.000001
mpi+omp,100,8,2,2,0.327355,0.002805,0.006700,0.000001
mpi+omp,100,8,3,2,0.334672,0.003647,0.006700,0.000001
mpi+omp,100,9,0,2,0.331803,0.002670,0.005998,0.000001
mpi+omp,100,9,1,2,0.323265,0.001314,0.005998,0.000001
mpi+omp,100,9,2,2,0.325420,0.001967,0.005998,0.000001
mpi+omp,100,9,3,2,0.328668,0.002670,0.005998,0.000001
mpi+omp,100,10,0,2,0.329118,0.003188,0.006402,0.000001
mpi+omp,100,10,1,2,0.319920,0.001533,0.006401,0.000001
mpi+omp,100,10,2,2,0.314241,0.002353,0.006401,0.000001
mpi+omp,100,10,3,2,0.323838,0.003188,0.006402,0.000001
mpi+omp,200,1,0,2,0.726815,0.005865,0.011253,0.000001
mpi+omp,200,1,1,2,0.696234,0.002778,0.011253,0.000001
mpi+omp,200,1,2,2,0.712742,0.004240,0.011253,0.000001
mpi+omp,200,1,3,2,0.724382,0.005865,0.011253,0.000001
mpi+omp,200,2,0,2,0.675105,0.005845,0.011426,0.000001
mpi+omp,200,2,1,2,0.713400,0.002788,0.011428,0.000001
mpi+omp,200,2,2,2,0.717209,0.004279,0.011426,0.000001
mpi+omp,200,2,3,2,0.699195,0.005845,0.011426,0.000001
mpi+omp,200,3,0,2,0.713094,0.005756,0.011561,0.000001
mpi+omp,200,3,1,2,0.739916,0.002735,0.011562,0.000001
mpi+omp,200,3,2,2,0.727322,0.004248,0.011561,0.000001
mpi+omp,200,3,3,2,0.734447,0.005754,0.011563,0.000001
mpi+omp,200,4,0,2,0.698380,0.005794,0.011150,0.000001
mpi+omp,200,4,1,2,0.668594,0.002734,0.011150,0.000001
mpi+omp,200,4,2,2,0.713776,0.004190,0.011150,0.000001
mpi+omp,200,4,3,2,0.709816,0.005794,0.011150,0.000001
mpi+omp,200,5,0,2,0.710130,0.005825,0.011136,0.000001
mpi+omp,200,5,1,2,0.704503,0.002829,0.011136,0.000001
mpi+omp,200,5,2,2,0.694374,0.004310,0.011136,0.000001
mpi+omp,200,5,3,2,0.689039,0.005825,0.011136,0.000001
mpi+omp,200,6,0,2,0.692281,0.005794,0.011103,0.000001
mpi+omp,200,6,1,2,0.715459,0.002777,0.011103,0.000001
mpi+omp,200,6,2,2,0.716557,0.004267,0.011103,0.000001
mpi+omp,200,6,3,2,0.695805,0.005794,0.011103,0.000001
mpi+omp,200,7,0,2,0.712679,0.005947,0.011136,0.000001
mpi+omp,200,7,1,2,0.689112,0.002831,0.011136,0.000001
mpi+omp,200,7,2,2,0.700030,0.004286,0.011136,0.000001
mpi+omp,200,7,3,2,0.708390,0.005944,0.011136,0.000001
mpi+omp,200,8,0,2,0.689412,0.005885,0.011070,0.000001
mpi+omp,200,8,1,2,0.676429,0.002880,0.011070,0.000001
mpi+omp,200,8,2,2,0.715076,0.004343,0.011070,0.000001
mpi+omp,200,8,3,2,0.714388,0.005885,0.011070,0.000001
mpi+omp,200,9,0,2,0.719076,0.005753,0.011143,0.000001
mpi+omp,200,9,1,2,0.667638,0.002768,0.011143,0.000001
mpi+omp,200,9,2,2,0.715528,0.004248,0.011141,0.000001
mpi+omp,200,9,3,2,0.711860,0.005753,0.011143,0.000001
mpi+omp,200,10,0,2,0.721520,0.005824,0.011232,0.000001
mpi+omp,200,10,1,2,0.709363,0.002801,0.011232,0.000001
mpi+omp,200,10,2,2,0.710723,0.004308,0.011232,0.000001
mpi+omp,200,10,3,2,0.717331,0.005822,0.011232,0.000001
mpi+omp,500,1,0,2,1.843374,0.012371,0.026092,0.000001
mpi+omp,500,1,1,2,2.026541,0.005119,0.026092,0.000001
mpi+omp,500,1,2,2,1.996998,0.008683,0.026092,0.000001
mpi+omp,500,1,3,2,2.014141,0.012370,0.026092,0.000001
mpi+omp,500,2,0,2,1.979666,0.012669,0.025798,0.000001
mpi+omp,500,2,1,2,1.826010,0.005343,0.025798,0.000001
mpi+omp,500,2,2,2,1.993366,0.009091,0.025798,0.000001
mpi+omp,500,2,3,2,1.985954,0.012669,0.025798,0.000001
mpi+omp,500,3,0,2,1.951726,0.012403,0.026067,0.000001
mpi+omp,500,3,1,2,1.796122,0.005218,0.026067,0.000001
mpi+omp,500,3,2,2,1.957149,0.008770,0.026067,0.000001
mpi+omp,500,3,3,2,1.965228,0.012397,0.026066,0.000001
mpi+omp,500,4,0,2,1.926403,0.011917,0.025994,0.000001
mpi+omp,500,4,1,2,1.991916,0.005231,0.025994,0.000001
mpi+omp,500,4,2,2,1.999235,0.008528,0.025994,0.000001
mpi+omp,500,4,3,2,1.989154,0.011917,0.025994,0.000001
mpi+omp,500,5,0,2,1.938290,0.012473,0.026069,0.000001
mpi+omp,500,5,1,2,2.001638,0.005265,0.026069,0.000001
mpi+omp,500,5,2,2,2.003997,0.008797,0.026069,0.000001
mpi+omp,500,5,3,2,2.004180,0.012471,0.026069,0.000001
mpi+omp,500,6,0,2,1.919698,0.012471,0.025902,0.000001
mpi+omp,500,6,1,2,1.950425,0.005316,0.025902,0.000001
mpi+omp,500,6,2,2,1.796968,0.008933,0.025902,0.000001
mpi+omp,500,6,3,2,1.959558,0.012471,0.025902,0.000001
mpi+omp,500,7,0,2,2.004065,0.012398,0.025940,0.000001
mpi+omp,500,7,1,2,2.011349,0.005200,0.025940,0.000001
mpi+omp,500,7,2,2,2.023536,0.008717,0.025940,0.000001
