mode,size_mb,ranks,threads_per_rank,avg_time_io_max_s,avg_time_alloc_max_s,avg_time_sa_max_s,avg_time_merge_s,avg_time_lcp_s,avg_time_lrs_scan_s,avg_time_compute_pure_s,avg_time_total_compute_s,avg_time_transfers_comm_s,avg_throughput_MBps,avg_speedup,avg_efficiency_pct,avg_memory_overhead_ratio_pct
mpi+omp,1,4,2,0.001331,0.000001,0.001631,0.001902,0.000576,0.000048,0.004109,0.004158,0.000030,11.591066,1.409120,35.227993,0.036205
mpi+omp,50,4,2,0.003585,0.000001,0.155013,0.114904,0.054548,0.001281,0.324466,0.325748,0.001346,7.338676,1.202757,30.068916,0.000467
mpi+omp,100,4,2,0.006401,0.000001,0.332130,0.246678,0.158886,0.002686,0.737694,0.740381,0.002967,6.462324,1.367227,34.180670,0.000194
mpi+omp,200,4,2,0.011221,0.000001,0.719275,0.558814,0.381227,0.005071,1.659316,1.664388,0.005829,5.753067,1.399964,34.999088,0.000087
mpi+omp,500,4,2,0.025965,0.000001,1.994729,2.618515,1.142131,0.013319,5.755375,5.768696,0.012493,4.140772,1.218615,30.465381,0.000024
