mode,size_mb,run,rank,threads,time_sa_local_s,time_comm_s,time_io_s,time_alloc_s
mpi+omp,1,1,0,2,0.000802,0.000044,0.002178,0.000001
mpi+omp,1,1,1,2,0.000819,0.000015,0.001766,0.000001
mpi+omp,1,1,2,2,0.000798,0.000020,0.001770,0.000001
mpi+omp,1,1,3,2,0.000811,0.000025,0.001764,0.000001
mpi+omp,1,1,4,2,0.000806,0.000031,0.001969,0.000001
mpi+omp,1,1,5,2,0.000811,0.000035,0.001766,0.000001
mpi+omp,1,1,6,2,0.000806,0.000041,0.001770,0.000001
mpi+omp,1,1,7,2,0.000804,0.000044,0.001764,0.000001
mpi+omp,1,2,0,2,0.000808,0.000042,0.002228,0.000001
mpi+omp,1,2,1,2,0.000810,0.000015,0.001867,0.000001
mpi+omp,1,2,2,2,0.000808,0.000019,0.001870,0.000001
mpi+omp,1,2,3,2,0.000801,0.000024,0.001867,0.000001
mpi+omp,1,2,4,2,0.000801,0.000028,0.002058,0.000001
mpi+omp,1,2,5,2,0.000808,0.000032,0.001865,0.000001
mpi+omp,1,2,6,2,0.001817,0.000038,0.001870,0.000001
mpi+omp,1,2,7,2,0.000801,0.000042,0.001867,0.000001
mpi+omp,1,3,0,2,0.000802,0.000044,0.002179,0.000001
mpi+omp,1,3,1,2,0.000814,0.000015,0.001834,0.000001
mpi+omp,1,3,2,2,0.000820,0.000020,0.001850,0.000001
mpi+omp,1,3,3,2,0.000811,0.000026,0.001830,0.000001
mpi+omp,1,3,4,2,0.000859,0.000031,0.001850,0.000001
mpi+omp,1,3,5,2,0.000811,0.000035,0.001834,0.000001
mpi+omp,1,3,6,2,0.000805,0.000040,0.001850,0.000001
mpi+omp,1,3,7,2,0.000814,0.000044,0.001836,0.000002
mpi+omp,1,4,0,2,0.000812,0.000043,0.002512,0.000001
mpi+omp,1,4,1,2,0.000822,0.000014,0.001997,0.000001
mpi+omp,1,4,2,2,0.000822,0.000019,0.001984,0.000001
mpi+omp,1,4,3,2,0.000812,0.000025,0.001981,0.000001
mpi+omp,1,4,4,2,0.000802,0.000029,0.002006,0.000001
mpi+omp,1,4,5,2,0.000814,0.000033,0.001822,0.000001
mpi+omp,1,4,6,2,0.000806,0.000039,0.001817,0.000001
mpi+omp,1,4,7,2,0.000815,0.000043,0.001981,0.000001
mpi+omp,1,5,0,2,0.000829,0.000046,0.002709,0.000002
mpi+omp,1,5,1,2,0.000849,0.000015,0.002249,0.000002
mpi+omp,1,5,2,2,0.000904,0.000021,0.002303,0.000002
mpi+omp,1,5,3,2,0.003770,0.000027,0.002246,0.000002
mpi+omp,1,5,4,2,0.000843,0.000031,0.002310,0.000001
mpi+omp,1,5,5,2,0.000832,0.000036,0.002249,0.000002
mpi+omp,1,5,6,2,0.001753,0.000042,0.002303,0.000001
mpi+omp,1,5,7,2,0.000824,0.000046,0.002246,0.000001
mpi+omp,1,6,0,2,0.000816,0.000043,0.002213,0.000001
mpi+omp,1,6,1,2,0.000816,0.000014,0.001858,0.000001
mpi+omp,1,6,2,2,0.000809,0.000020,0.001851,0.000001
mpi+omp,1,6,3,2,0.000809,0.000024,0.001858,0.000001
mpi+omp,1,6,4,2,0.000802,0.000029,0.001854,0.000001
mpi+omp,1,6,5,2,0.000822,0.000033,0.001858,0.000001
mpi+omp,1,6,6,2,0.000821,0.000039,0.001851,0.000001
mpi+omp,1,6,7,2,0.000816,0.000043,0.001858,0.000001
mpi+omp,1,7,0,2,0.000841,0.000054,0.003189,0.000001
mpi+omp,1,7,1,2,0.000846,0.000024,0.002726,0.000001
mpi+omp,1,7,2,2,0.002080,0.000029,0.002567,0.000002
mpi+omp,1,7,3,2,0.000836,0.000033,0.002726,0.000001
mpi+omp,1,7,4,2,0.000832,0.000039,0.002571,0.000001
mpi+omp,1,7,5,2,0.002664,0.000043,0.002727,0.000001
mpi+omp,1,7,6,2,0.000821,0.000050,0.002565,0.000001
mpi+omp,1,7,7,2,0.000822,0.000054,0.002726,0.000001
mpi+omp,1,8,0,2,0.000793,0.000044,0.002288,0.000001
mpi+omp,1,8,1,2,0.000815,0.000015,0.001925,0.000001
mpi+omp,1,8,2,2,0.000824,0.000020,0.001925,0.000001
mpi+omp,1,8,3,2,0.000795,0.000026,0.001925,0.000001
mpi+omp,1,8,4,2,0.000786,0.000030,0.002091,0.000001
mpi+omp,1,8,5,2,0.000829,0.000035,0.001925,0.000001
mpi+omp,1,8,6,2,0.000799,0.000040,0.001925,0.000001
mpi+omp,1,8,7,2,0.000795,0.000044,0.001925,0.000001
mpi+omp,1,9,0,2,0.000822,0.000043,0.002103,0.000001
mpi+omp,1,9,1,2,0.000834,0.000014,0.001765,0.000001
mpi+omp,1,9,2,2,0.000823,0.000020,0.001767,0.000001
mpi+omp,1,9,3,2,0.000819,0.000024,0.001765,0.000001
mpi+omp,1,9,4,2,0.000814,0.000029,0.001767,0.000001
mpi+omp,1,9,5,2,0.000841,0.000033,0.001765,0.000001
mpi+omp,1,9,6,2,0.000823,0.000039,0.001767,0.000001
mpi+omp,1,9,7,2,0.000827,0.000043,0.001765,0.000001
mpi+omp,1,10,0,2,0.000811,0.000043,0.002709,0.000001
mpi+omp,1,10,1,2,0.000819,0.000015,0.002206,0.000001
mpi+omp,1,10,2,2,0.000819,0.000019,0.002031,0.000001
mpi+omp,1,10,3,2,0.000815,0.000025,0.002206,0.000001
mpi+omp,1,10,4,2,0.000806,0.000030,0.002189,0.000001
mpi+omp,1,10,5,2,0.000817,0.000034,0.002036,0.000001
mpi+omp,1,10,6,2,0.000811,0.000039,0.001859,0.000001
mpi+omp,1,10,7,2,0.000810,0.000043,0.002036,0.000001
mpi+omp,50,1,0,2,0.080100,0.001649,0.004449,0.000001
mpi+omp,50,1,1,2,0.082236,0.000363,0.004113,0.000001
mpi+omp,50,1,2,2,0.076951,0.000591,0.004107,0.000002
mpi+omp,50,1,3,2,0.077036,0.000825,0.004113,0.000001
mpi+omp,50,1,4,2,0.081821,0.001013,0.004110,0.000001
mpi+omp,50,1,5,2,0.079403,0.001207,0.004113,0.000001
mpi+omp,50,1,6,2,0.083474,0.001398,0.004105,0.000001
mpi+omp,50,1,7,2,0.081887,0.001647,0.004111,0.000001
mpi+omp,50,2,0,2,0.088050,0.001672,0.004853,0.000001
mpi+omp,50,2,1,2,0.077723,0.000386,0.004492,0.000001
mpi+omp,50,2,2,2,0.077931,0.000583,0.004488,0.000001
mpi+omp,50,2,3,2,0.081056,0.000790,0.004487,0.000001
mpi+omp,50,2,4,2,0.078883,0.001069,0.004495,0.000001
mpi+omp,50,2,5,2,0.075749,0.001271,0.004492,0.000001
mpi+omp,50,2,6,2,0.082416,0.001472,0.004491,0.000001
mpi+omp,50,2,7,2,0.080989,0.001653,0.004487,0.000001
mpi+omp,50,3,0,2,0.080294,0.001533,0.004406,0.000001
mpi+omp,50,3,1,2,0.076227,0.000403,0.004057,0.000001
mpi+omp,50,3,2,2,0.080528,0.000586,0.004077,0.000001
mpi+omp,50,3,3,2,0.080381,0.000797,0.004057,0.000001
mpi+omp,50,3,4,2,0.078339,0.001028,0.004077,0.000001
mpi+omp,50,3,5,2,0.081101,0.001192,0.004057,0.000001
mpi+omp,50,3,6,2,0.081133,0.001354,0.004077,0.000001
mpi+omp,50,3,7,2,0.077335,0.001532,0.004057,0.000001
mpi+omp,50,4,0,2,0.082122,0.001416,0.004542,0.000001
mpi+omp,50,4,1,2,0.077478,0.000336,0.004197,0.000001
mpi+omp,50,4,2,2,0.082519,0.000527,0.004216,0.000002
mpi+omp,50,4,3,2,0.080516,0.000717,0.004192,0.000002
mpi+omp,50,4,4,2,0.082680,0.000893,0.004216,0.000002
mpi+omp,50,4,5,2,0.078510,0.001059,0.004192,0.000002
mpi+omp,50,4,6,2,0.082317,0.001233,0.004216,0.000002
mpi+omp,50,4,7,2,0.080084,0.001416,0.004192,0.000002
mpi+omp,50,5,0,2,0.078331,0.001586,0.005128,0.000001
mpi+omp,50,5,1,2,0.080437,0.000353,0.004585,0.000001
mpi+omp,50,5,2,2,0.079268,0.000575,0.004409,0.000001
mpi+omp,50,5,3,2,0.075922,0.000777,0.004590,0.000001
mpi+omp,50,5,4,2,0.080652,0.000973,0.004076,0.000001
mpi+omp,50,5,5,2,0.078702,0.001215,0.004261,0.000001
mpi+omp,50,5,6,2,0.076559,0.001403,0.004076,0.000001
mpi+omp,50,5,7,2,0.080073,0.001586,0.004284,0.000001
mpi+omp,50,6,0,2,0.087031,0.001488,0.005500,0.000001
mpi+omp,50,6,1,2,0.092307,0.000348,0.004836,0.000001
mpi+omp,50,6,2,2,0.092911,0.000532,0.004885,0.000001
mpi+omp,50,6,3,2,0.085333,0.000726,0.004903,0.000001
mpi+omp,50,6,4,2,0.093942,0.000921,0.004892,0.000001
mpi+omp,50,6,5,2,0.096010,0.001111,0.004367,0.000001
mpi+omp,50,6,6,2,0.089598,0.001312,0.004885,0.000001
mpi+omp,50,6,7,2,0.088723,0.001485,0.004571,0.000001
mpi+omp,50,7,0,2,0.078667,0.001496,0.004892,0.000001
mpi+omp,50,7,1,2,0.083353,0.000354,0.004456,0.000001
mpi+omp,50,7,2,2,0.080049,0.000568,0.004354,0.000001
mpi+omp,50,7,3,2,0.083606,0.000783,0.004454,0.000001
mpi+omp,50,7,4,2,0.081401,0.000981,0.004359,0.000001
mpi+omp,50,7,5,2,0.083646,0.001149,0.004456,0.000001
mpi+omp,50,7,6,2,0.082978,0.001318,0.004354,0.000001
mpi+omp,50,7,7,2,0.081788,0.001496,0.004454,0.000001
mpi+omp,50,8,0,2,0.100390,0.001707,0.005019,0.000001
mpi+omp,50,8,1,2,0.093639,0.000348,0.004444,0.000001
mpi+omp,50,8,2,2,0.096239,0.000583,0.004427,0.000001
mpi+omp,50,8,3,2,0.095662,0.000836,0.004449,0.000001
mpi+omp,50,8,4,2,0.094123,0.001068,0.004444,0.000001
mpi+omp,50,8,5,2,0.095408,0.001243,0.004096,0.000001
mpi+omp,50,8,6,2,0.093145,0.001475,0.004089,0.000001
mpi+omp,50,8,7,2,0.096483,0.001702,0.004077,0.000001
