mode,size_mb,ranks,threads_per_rank,avg_time_io_max_s,avg_time_alloc_max_s,avg_time_sa_max_s,avg_time_merge_s,avg_time_lcp_s,avg_time_lrs_scan_s,avg_time_compute_pure_s,avg_time_total_compute_s,avg_time_transfers_comm_s,avg_throughput_MBps,avg_speedup,avg_efficiency_pct,avg_memory_overhead_ratio_pct
mpi+omp,1,8,2,0.002431,0.000001,0.001406,0.002384,0.000603,0.000046,0.004393,0.004441,0.000045,11.312870,1.375300,17.191245,0.036839
mpi+omp,50,8,2,0.004782,0.000001,0.086198,0.144625,0.062969,0.001505,0.293793,0.295299,0.001556,8.152980,1.336215,16.702689,0.000537
mpi+omp,100,8,2,0.007296,0.000001,0.180185,0.284220,0.155867,0.002549,0.620272,0.622822,0.003233,7.696099,1.628255,20.353191,0.000244
mpi+omp,200,8,2,0.012377,0.000001,0.410915,0.693477,0.379358,0.004989,1.483750,1.488740,0.006365,6.429276,1.564514,19.556422,0.000106
mpi+omp,500,8,2,0.027270,0.000001,1.178365,2.839672,1.146641,0.012668,5.164678,5.177347,0.015248,4.613372,1.357700,16.971247,0.000029
