mode,size_mb,run,ranks,threads_per_rank,time_merge_s,time_lcp_s,time_lrs_scan_s,time_compute_pure_s,time_total_compute_s,time_transfers_comm_s,throughput_MBps,speedup,efficiency_pct,memory_overhead_ratio_pct
mpi+omp,1,1,2,8,0.033293,0.012519,0.000523,0.162974,0.163499,0.000318,6.135937,0.722231,36.111525,0.000857
mpi+omp,1,2,2,8,0.034543,0.012246,0.000502,0.169100,0.169604,0.000294,5.913648,0.696066,34.803298,0.000868
mpi+omp,1,3,2,8,0.034362,0.011649,0.000544,0.164485,0.165030,0.000302,6.079599,0.715599,35.779959,0.000849
mpi+omp,1,4,2,8,0.034101,0.011534,0.000507,0.166054,0.166563,0.000340,6.022124,0.708834,35.441707,0.000841
mpi+omp,1,5,2,8,0.036016,0.015341,0.000513,0.171824,0.172338,0.000356,5.819920,0.685034,34.251682,0.000853
mpi+omp,1,6,2,8,0.034024,0.011563,0.000520,0.164361,0.164882,0.000348,6.084179,0.716138,35.806916,0.000892
mpi+omp,1,7,2,8,0.035147,0.011883,0.000544,0.165951,0.166497,0.000364,6.025858,0.709274,35.463678,0.000883
mpi+omp,1,8,2,8,0.033833,0.011751,0.000484,0.164562,0.165047,0.000371,6.076745,0.715263,35.763164,0.000891
mpi+omp,1,9,2,8,0.035069,0.011608,0.000509,0.163561,0.164072,0.000339,6.113931,0.719640,35.982014,0.000897
mpi+omp,1,10,2,8,0.034173,0.011897,0.000493,0.163765,0.164260,0.000364,6.106297,0.718742,35.937083,0.000896
mpi+omp,50,1,2,8,5.387754,2.368129,0.025644,15.673297,15.698942,0.021810,3.190139,1.102004,55.100179,0.000009
mpi+omp,50,2,2,8,5.378880,2.369735,0.026170,15.666654,15.692825,0.021642,3.191492,1.102471,55.123542,0.000009
mpi+omp,50,3,2,8,5.580006,2.368119,0.026465,15.869652,15.896119,0.022174,3.150668,1.088368,54.418425,0.000009
mpi+omp,50,4,2,8,5.572522,2.367496,0.025249,15.878748,15.903999,0.021633,3.148863,1.087745,54.387252,0.000012
mpi+omp,50,5,2,8,5.406938,2.369486,0.026799,15.703272,15.730072,0.021857,3.184050,1.099900,54.995001,0.000009
mpi+omp,50,6,2,8,5.436846,2.368588,0.026118,15.745453,15.771573,0.022176,3.175520,1.096953,54.847671,0.000009
mpi+omp,50,7,2,8,5.895921,2.540815,0.026467,16.389468,16.415936,0.021678,3.050740,1.053849,52.692465,0.000009
mpi+omp,50,8,2,8,6.126240,2.412645,0.025813,16.625014,16.650828,0.022960,3.007516,1.038918,51.945909,0.000009
