mode,size_mb,run,rank,threads,time_sa_local_s,time_comm_s,time_io_s,time_alloc_s
mpi+omp,1,1,0,8,0.003633,0.000020,0.000612,0.000001
mpi+omp,1,1,1,8,0.003625,0.000020,0.000612,0.000001
mpi+omp,1,2,0,8,0.003728,0.000032,0.000620,0.000001
mpi+omp,1,2,1,8,0.003712,0.000032,0.000620,0.000001
mpi+omp,1,3,0,8,0.004205,0.000023,0.000776,0.000001
mpi+omp,1,3,1,8,0.003917,0.000023,0.000776,0.000001
mpi+omp,1,4,0,8,0.003719,0.000022,0.000615,0.000001
mpi+omp,1,4,1,8,0.003630,0.000020,0.000615,0.000001
mpi+omp,1,5,0,8,0.003680,0.000020,0.000614,0.000001
mpi+omp,1,5,1,8,0.003669,0.000020,0.000614,0.000001
mpi+omp,1,6,0,8,0.003701,0.000020,0.000630,0.000001
mpi+omp,1,6,1,8,0.003688,0.000020,0.000630,0.000001
mpi+omp,1,7,0,8,0.003725,0.000020,0.000709,0.000001
mpi+omp,1,7,1,8,0.003663,0.000020,0.000709,0.000001
mpi+omp,1,8,0,8,0.003667,0.000020,0.000603,0.000001
mpi+omp,1,8,1,8,0.003674,0.000020,0.000603,0.000001
mpi+omp,1,9,0,8,0.003725,0.000022,0.000616,0.000001
mpi+omp,1,9,1,8,0.003671,0.000020,0.000616,0.000001
mpi+omp,1,10,0,8,0.003760,0.000033,0.000794,0.000001
mpi+omp,1,10,1,8,0.003687,0.000033,0.000601,0.000001
mpi+omp,50,1,0,8,0.299567,0.001235,0.001538,0.000001
mpi+omp,50,1,1,8,0.300230,0.001235,0.001538,0.000001
mpi+omp,50,2,0,8,0.295376,0.001127,0.001518,0.000001
mpi+omp,50,2,1,8,0.297008,0.001127,0.001518,0.000001
mpi+omp,50,3,0,8,0.294988,0.001440,0.001533,0.000001
mpi+omp,50,3,1,8,0.298079,0.001440,0.001535,0.000001
mpi+omp,50,4,0,8,0.308330,0.001639,0.001532,0.000001
mpi+omp,50,4,1,8,0.311903,0.001639,0.001532,0.000001
mpi+omp,50,5,0,8,0.301147,0.001406,0.002513,0.000001
mpi+omp,50,5,1,8,0.303779,0.001406,0.001707,0.000001
mpi+omp,50,6,0,8,0.300124,0.001228,0.001625,0.000001
mpi+omp,50,6,1,8,0.299815,0.001228,0.001625,0.000001
mpi+omp,50,7,0,8,0.307219,0.001387,0.001602,0.000001
mpi+omp,50,7,1,8,0.307264,0.001388,0.001601,0.000001
mpi+omp,50,8,0,8,0.308222,0.001473,0.002295,0.000001
mpi+omp,50,8,1,8,0.308797,0.001473,0.001583,0.000001
mpi+omp,50,9,0,8,0.304594,0.001293,0.001533,0.000001
mpi+omp,50,9,1,8,0.305610,0.001293,0.001533,0.000001
mpi+omp,50,10,0,8,0.303614,0.001220,0.001518,0.000001
mpi+omp,50,10,1,8,0.302296,0.001220,0.001518,0.000001
mpi+omp,100,1,0,8,0.622432,0.002775,0.002713,0.000001
mpi+omp,100,1,1,8,0.610813,0.002775,0.002713,0.000001
mpi+omp,100,2,0,8,0.632519,0.002914,0.002504,0.000001
mpi+omp,100,2,1,8,0.619286,0.002914,0.002504,0.000001
mpi+omp,100,3,0,8,0.622073,0.002813,0.002540,0.000001
mpi+omp,100,3,1,8,0.611174,0.002813,0.002540,0.000001
mpi+omp,100,4,0,8,0.641198,0.002789,0.002731,0.000001
mpi+omp,100,4,1,8,0.626521,0.002789,0.002728,0.000001
mpi+omp,100,5,0,8,0.640753,0.002788,0.003740,0.000001
mpi+omp,100,5,1,8,0.623536,0.002788,0.002539,0.000001
mpi+omp,100,6,0,8,0.647803,0.003028,0.003356,0.000001
mpi+omp,100,6,1,8,0.633267,0.003028,0.002506,0.000001
mpi+omp,100,7,0,8,0.622492,0.002576,0.002494,0.000002
mpi+omp,100,7,1,8,0.610678,0.002576,0.002494,0.000002
mpi+omp,100,8,0,8,0.666428,0.003092,0.002609,0.000001
mpi+omp,100,8,1,8,0.656287,0.003092,0.002609,0.000001
mpi+omp,100,9,0,8,0.647373,0.002882,0.002465,0.000001
mpi+omp,100,9,1,8,0.632208,0.002885,0.002465,0.000001
mpi+omp,100,10,0,8,0.646846,0.002828,0.002580,0.000001
mpi+omp,100,10,1,8,0.632900,0.002827,0.002580,0.000001
mpi+omp,200,1,0,8,1.378921,0.004070,0.004679,0.000001
mpi+omp,200,1,1,8,1.337765,0.004070,0.004679,0.000001
mpi+omp,200,2,0,8,1.379489,0.004362,0.004757,0.000001
mpi+omp,200,2,1,8,1.350464,0.004361,0.004757,0.000001
mpi+omp,200,3,0,8,1.359910,0.004378,0.004756,0.000001
mpi+omp,200,3,1,8,1.374502,0.004378,0.004756,0.000001
mpi+omp,200,4,0,8,1.387370,0.004410,0.004874,0.000001
mpi+omp,200,4,1,8,1.354024,0.004408,0.004874,0.000001
mpi+omp,200,5,0,8,1.372299,0.004279,0.004626,0.000001
mpi+omp,200,5,1,8,1.345616,0.004273,0.004626,0.000001
mpi+omp,200,6,0,8,1.401504,0.004196,0.004647,0.000001
mpi+omp,200,6,1,8,1.367100,0.004196,0.004647,0.000001
mpi+omp,200,7,0,8,1.396112,0.004633,0.005235,0.000001
mpi+omp,200,7,1,8,1.369130,0.004638,0.005229,0.000001
mpi+omp,200,8,0,8,1.368988,0.004623,0.004618,0.000001
mpi+omp,200,8,1,8,1.349120,0.004623,0.004618,0.000001
mpi+omp,200,9,0,8,1.384795,0.004461,0.005925,0.000001
mpi+omp,200,9,1,8,1.348387,0.004459,0.004751,0.000001
mpi+omp,200,10,0,8,1.364555,0.004484,0.006643,0.000001
mpi+omp,200,10,1,8,1.334302,0.004484,0.004496,0.000001
mpi+omp,500,1,0,8,3.718363,0.010821,0.011172,0.000001
mpi+omp,500,1,1,8,3.671857,0.010821,0.011172,0.000001
mpi+omp,500,2,0,8,3.973513,0.010430,0.010967,0.000001
mpi+omp,500,2,1,8,3.929059,0.010427,0.010967,0.000001
mpi+omp,500,3,0,8,3.616706,0.010444,0.011120,0.000001
mpi+omp,500,3,1,8,3.579701,0.010443,0.011122,0.000001
mpi+omp,500,4,0,8,3.621582,0.010172,0.010718,0.000001
mpi+omp,500,4,1,8,3.587385,0.010172,0.010718,0.000001
mpi+omp,500,5,0,8,3.609972,0.010006,0.010918,0.000001
mpi+omp,500,5,1,8,3.562917,0.010006,0.010918,0.000001
mpi+omp,500,6,0,8,3.636170,0.010001,0.010807,0.000001
mpi+omp,500,6,1,8,3.605383,0.010001,0.010805,0.000001
mpi+omp,500,7,0,8,3.612051,0.010379,0.013882,0.000001
mpi+omp,500,7,1,8,3.568694,0.010379,0.010679,0.000001
mpi+omp,500,8,0,8,3.615883,0.009632,0.010991,0.000001
mpi+omp,500,8,1,8,3.574758,0.009632,0.010991,0.000001
mpi+omp,500,9,0,8,3.615020,0.010262,0.011329,0.000001
mpi+omp,500,9,1,8,3.571696,0.010260,0.011329,0.000001
mpi+omp,500,10,0,8,3.617349,0.011350,0.010627,0.000001
mpi+omp,500,10,1,8,3.568557,0.011350,0.010627,0.000001
