mode,size_mb,run,rank,time_s
mpi+omp,200,9,1,18.1251
mpi+omp,200,9,2,18.6607
mpi+omp,200,9,3,18.8337
mpi+omp,200,10,0,18.8343
mpi+omp,200,10,1,18.2972
mpi+omp,200,10,2,18.5568
mpi+omp,200,10,3,18.8393
mpi+omp,500,1,0,48.7413
mpi+omp,500,1,1,48.0728
mpi+omp,500,1,2,47.4162
mpi+omp,500,1,3,48.4401
mpi+omp,500,2,0,48.8285
mpi+omp,500,2,1,48.4096
mpi+omp,500,2,2,47.5769
mpi+omp,500,2,3,48.5858
mpi+omp,500,3,0,48.8684
mpi+omp,500,3,1,48.1183
mpi+omp,500,3,2,47.8589
mpi+omp,500,3,3,48.8131
mpi+omp,500,4,0,48.8219
mpi+omp,500,4,1,48.0342
mpi+omp,500,4,2,47.7105
mpi+omp,500,4,3,48.6216
mpi+omp,500,5,0,48.6958
mpi+omp,500,5,1,47.9873
mpi+omp,500,5,2,47.2504
mpi+omp,500,5,3,48.4219
mpi+omp,500,6,0,48.727
mpi+omp,500,6,1,48.2831
mpi+omp,500,6,2,47.1095
mpi+omp,500,6,3,48.531
mpi+omp,500,7,0,48.7618
mpi+omp,500,7,1,48.1398
mpi+omp,500,7,2,47.5129
mpi+omp,500,7,3,48.5529
mpi+omp,500,8,0,48.741
mpi+omp,500,8,1,48.0611
mpi+omp,500,8,2,47.3468
mpi+omp,500,8,3,48.4694
mpi+omp,500,9,0,48.781
mpi+omp,500,9,1,48.135
mpi+omp,500,9,2,47.5046
mpi+omp,500,9,3,48.6463
mpi+omp,500,10,0,48.7508
mpi+omp,500,10,1,48.0193
mpi+omp,500,10,2,47.4655
mpi+omp,500,10,3,48.4524
