mode,size_mb,rank,avg_time_s
mpi+omp,1,0,0.060152
mpi+omp,1,1,0.060508
mpi+omp,1,2,0.060330
mpi+omp,1,3,0.060458
mpi+omp,50,0,4.416366
mpi+omp,50,1,4.374148
mpi+omp,50,2,4.386222
mpi+omp,50,3,4.239231
mpi+omp,100,0,9.113098
mpi+omp,100,1,9.119200
mpi+omp,100,2,8.735070
mpi+omp,100,3,8.950993
mpi+omp,200,0,18.853340
mpi+omp,200,1,18.325930
mpi+omp,200,2,18.725900
mpi+omp,200,3,18.821660
mpi+omp,500,0,48.771750
mpi+omp,500,1,48.126050
mpi+omp,500,2,47.475220
mpi+omp,500,3,48.553450
