mode,size_mb,run,rank,time_s
mpi+omp,1,1,0,0.123354
mpi+omp,1,1,1,0.121866
mpi+omp,1,2,0,0.123887
mpi+omp,1,2,1,0.122224
mpi+omp,1,3,0,0.122806
mpi+omp,1,3,1,0.121658
mpi+omp,1,4,0,0.123103
mpi+omp,1,4,1,0.122985
mpi+omp,1,5,0,0.124994
mpi+omp,1,5,1,0.124614
mpi+omp,1,6,0,0.123892
mpi+omp,1,6,1,0.123273
mpi+omp,1,7,0,0.122399
mpi+omp,1,7,1,0.122536
mpi+omp,1,8,0,0.125174
mpi+omp,1,8,1,0.125725
mpi+omp,1,9,0,0.123667
mpi+omp,1,9,1,0.122506
mpi+omp,1,10,0,0.1237
mpi+omp,1,10,1,0.122845
mpi+omp,50,1,0,8.44154
mpi+omp,50,1,1,8.3281
mpi+omp,50,2,0,8.23527
mpi+omp,50,2,1,8.13019
mpi+omp,50,3,0,8.245
mpi+omp,50,3,1,8.16021
mpi+omp,50,4,0,8.24807
mpi+omp,50,4,1,8.16526
mpi+omp,50,5,0,8.24422
mpi+omp,50,5,1,8.17423
mpi+omp,50,6,0,8.25481
mpi+omp,50,6,1,8.20502
mpi+omp,50,7,0,8.23581
mpi+omp,50,7,1,8.13025
mpi+omp,50,8,0,8.26713
mpi+omp,50,8,1,8.22876
mpi+omp,50,9,0,8.24737
mpi+omp,50,9,1,8.16157
mpi+omp,50,10,0,8.21959
mpi+omp,50,10,1,8.11184
mpi+omp,100,1,0,16.8833
mpi+omp,100,1,1,16.9534
mpi+omp,100,2,0,16.852
mpi+omp,100,2,1,16.9571
mpi+omp,100,3,0,16.899
mpi+omp,100,3,1,16.9643
mpi+omp,100,4,0,16.8211
mpi+omp,100,4,1,16.9562
mpi+omp,100,5,0,16.8113
mpi+omp,100,5,1,16.947
mpi+omp,100,6,0,16.9431
mpi+omp,100,6,1,16.9567
mpi+omp,100,7,0,16.863
mpi+omp,100,7,1,16.953
mpi+omp,100,8,0,16.9562
mpi+omp,100,8,1,16.9589
mpi+omp,100,9,0,16.8405
mpi+omp,100,9,1,16.9604
mpi+omp,100,10,0,16.9263
mpi+omp,100,10,1,16.8573
mpi+omp,200,1,0,34.7613
mpi+omp,200,1,1,34.4449
mpi+omp,200,2,0,34.7152
mpi+omp,200,2,1,34.3061
mpi+omp,200,3,0,34.7485
mpi+omp,200,3,1,34.3481
mpi+omp,200,4,0,34.7268
mpi+omp,200,4,1,34.2616
mpi+omp,200,5,0,34.7334
mpi+omp,200,5,1,34.3158
mpi+omp,200,6,0,34.7479
mpi+omp,200,6,1,34.3274
mpi+omp,200,7,0,34.7535
mpi+omp,200,7,1,34.3339
mpi+omp,200,8,0,34.7541
mpi+omp,200,8,1,34.2912
mpi+omp,200,9,0,34.7488
mpi+omp,200,9,1,34.3165
mpi+omp,200,10,0,34.8121
mpi+omp,200,10,1,34.4267
mpi+omp,500,1,0,90.0283
mpi+omp,500,1,1,90.8934
mpi+omp,500,2,0,90.0943
mpi+omp,500,2,1,90.7344
mpi+omp,500,3,0,89.8363
mpi+omp,500,3,1,90.5168
mpi+omp,500,4,0,89.8637
mpi+omp,500,4,1,90.6033
mpi+omp,500,5,0,90.1418
mpi+omp,500,5,1,90.6849
mpi+omp,500,6,0,89.8649
mpi+omp,500,6,1,90.5698
mpi+omp,500,7,0,89.0076
mpi+omp,500,7,1,89.671
mpi+omp,500,8,0,88.5032
mpi+omp,500,8,1,89.4043
mpi+omp,500,9,0,88.5345
mpi+omp,500,9,1,89.4185
mpi+omp,500,10,0,88.5308
mpi+omp,500,10,1,89.3944
