mode,size_mb,run,rank,time_sa_local_s,time_comm_s,time_io_s,time_alloc_s
mpi,1,1,0,0.000719,0.000040,0.002179,0.000001
mpi,1,1,1,0.000731,0.000014,0.002179,0.000001
mpi,1,1,2,0.000712,0.000019,0.002179,0.000001
mpi,1,1,3,0.000718,0.000024,0.002179,0.000001
mpi,1,1,4,0.000712,0.000028,0.002179,0.000001
mpi,1,1,5,0.000839,0.000033,0.002179,0.000001
mpi,1,1,6,0.000729,0.000037,0.002179,0.000001
mpi,1,1,7,0.000725,0.000040,0.002179,0.000001
mpi,1,2,0,0.000705,0.000040,0.002301,0.000001
mpi,1,2,1,0.000717,0.000015,0.002301,0.000001
mpi,1,2,2,0.000711,0.000019,0.002301,0.000001
mpi,1,2,3,0.000709,0.000024,0.002301,0.000001
mpi,1,2,4,0.000705,0.000028,0.002301,0.000001
mpi,1,2,5,0.000734,0.000032,0.002301,0.000001
mpi,1,2,6,0.000710,0.000037,0.002301,0.000001
mpi,1,2,7,0.000834,0.000039,0.002301,0.000001
mpi,1,3,0,0.000727,0.000041,0.002262,0.000001
mpi,1,3,1,0.000727,0.000015,0.002260,0.000001
mpi,1,3,2,0.000727,0.000019,0.002262,0.000001
mpi,1,3,3,0.000735,0.000024,0.002260,0.000001
mpi,1,3,4,0.000711,0.000027,0.002260,0.000001
mpi,1,3,5,0.000741,0.000032,0.002260,0.000001
mpi,1,3,6,0.000724,0.000037,0.002262,0.000001
mpi,1,3,7,0.000718,0.000041,0.002260,0.000001
mpi,1,4,0,0.000714,0.000047,0.002181,0.000001
mpi,1,4,1,0.000782,0.000021,0.002181,0.000001
mpi,1,4,2,0.000717,0.000025,0.002181,0.000001
mpi,1,4,3,0.000717,0.000031,0.002181,0.000001
mpi,1,4,4,0.000706,0.000034,0.002181,0.000001
mpi,1,4,5,0.000729,0.000039,0.002181,0.000001
mpi,1,4,6,0.000720,0.000043,0.002181,0.000001
mpi,1,4,7,0.000726,0.000047,0.002181,0.000001
mpi,1,5,0,0.000717,0.000042,0.002379,0.000002
mpi,1,5,1,0.000836,0.000015,0.002379,0.000002
mpi,1,5,2,0.000814,0.000020,0.002379,0.000002
mpi,1,5,3,0.000737,0.000024,0.002379,0.000002
mpi,1,5,4,0.000718,0.000030,0.002379,0.000002
mpi,1,5,5,0.000745,0.000033,0.002379,0.000002
mpi,1,5,6,0.000726,0.000040,0.002379,0.000002
mpi,1,5,7,0.000836,0.000041,0.002380,0.000002
mpi,1,6,0,0.000731,0.000040,0.002136,0.000001
mpi,1,6,1,0.000731,0.000014,0.002136,0.000001
mpi,1,6,2,0.000720,0.000019,0.002136,0.000001
mpi,1,6,3,0.000725,0.000023,0.002136,0.000001
mpi,1,6,4,0.000782,0.000027,0.002136,0.000001
mpi,1,6,5,0.000731,0.000031,0.002136,0.000001
mpi,1,6,6,0.000720,0.000036,0.002136,0.000001
mpi,1,6,7,0.000720,0.000040,0.002136,0.000001
mpi,1,7,0,0.000720,0.000040,0.002207,0.000001
mpi,1,7,1,0.000722,0.000014,0.002207,0.000001
mpi,1,7,2,0.000725,0.000018,0.002207,0.000001
mpi,1,7,3,0.000710,0.000023,0.002207,0.000001
mpi,1,7,4,0.000710,0.000026,0.002207,0.000001
mpi,1,7,5,0.000738,0.000031,0.002207,0.000001
mpi,1,7,6,0.000727,0.000036,0.002207,0.000001
mpi,1,7,7,0.000710,0.000040,0.002207,0.000001
mpi,1,8,0,0.000715,0.000038,0.002203,0.000001
mpi,1,8,1,0.000732,0.000015,0.002203,0.000001
mpi,1,8,2,0.000711,0.000019,0.002203,0.000001
mpi,1,8,3,0.000720,0.000024,0.002203,0.000001
mpi,1,8,4,0.000711,0.000027,0.002203,0.000001
mpi,1,8,5,0.000724,0.000032,0.002203,0.000001
mpi,1,8,6,0.000720,0.000035,0.002203,0.000001
mpi,1,8,7,0.000720,0.000038,0.002203,0.000001
mpi,1,9,0,0.000701,0.000038,0.002336,0.000001
mpi,1,9,1,0.000712,0.000013,0.002336,0.000001
mpi,1,9,2,0.000698,0.000018,0.002336,0.000001
mpi,1,9,3,0.000705,0.000022,0.002336,0.000001
mpi,1,9,4,0.000690,0.000026,0.002336,0.000001
mpi,1,9,5,0.000710,0.000032,0.002336,0.000001
mpi,1,9,6,0.000705,0.000035,0.002336,0.000001
mpi,1,9,7,0.000701,0.000038,0.002336,0.000001
mpi,1,10,0,0.000713,0.000039,0.002283,0.000001
mpi,1,10,1,0.000726,0.000014,0.002283,0.000001
mpi,1,10,2,0.000712,0.000019,0.002283,0.000001
mpi,1,10,3,0.000713,0.000023,0.002283,0.000001
mpi,1,10,4,0.000694,0.000026,0.002283,0.000001
mpi,1,10,5,0.000718,0.000031,0.002283,0.000001
mpi,1,10,6,0.000708,0.000034,0.002283,0.000001
mpi,1,10,7,0.000708,0.000038,0.002283,0.000001
mpi,50,1,0,0.079370,0.001495,0.004751,0.000001
mpi,50,1,1,0.080901,0.000296,0.004751,0.000001
mpi,50,1,2,0.080557,0.000498,0.004751,0.000001
mpi,50,1,3,0.077418,0.000691,0.004751,0.000001
mpi,50,1,4,0.081016,0.000877,0.004751,0.000001
mpi,50,1,5,0.074267,0.001072,0.004751,0.000001
mpi,50,1,6,0.081037,0.001269,0.004751,0.000001
mpi,50,1,7,0.085784,0.001495,0.004747,0.000001
mpi,50,2,0,0.073214,0.001788,0.004570,0.000001
mpi,50,2,1,0.081123,0.000406,0.004570,0.000001
mpi,50,2,2,0.080301,0.000649,0.004570,0.000001
mpi,50,2,3,0.080826,0.000886,0.004570,0.000001
mpi,50,2,4,0.081150,0.001106,0.004570,0.000001
mpi,50,2,5,0.078199,0.001348,0.004570,0.000001
mpi,50,2,6,0.080653,0.001565,0.004570,0.000001
mpi,50,2,7,0.078145,0.001788,0.004570,0.000001
mpi,50,3,0,0.076438,0.001399,0.004307,0.000001
mpi,50,3,1,0.081536,0.000293,0.004307,0.000001
mpi,50,3,2,0.080409,0.000481,0.004307,0.000001
mpi,50,3,3,0.079011,0.000669,0.004307,0.000001
mpi,50,3,4,0.081609,0.000850,0.004307,0.000001
mpi,50,3,5,0.081536,0.001018,0.004307,0.000001
mpi,50,3,6,0.081565,0.001175,0.004307,0.000001
mpi,50,3,7,0.079533,0.001399,0.004307,0.000001
mpi,50,4,0,0.080161,0.001422,0.004665,0.000001
mpi,50,4,1,0.075435,0.000307,0.004665,0.000001
mpi,50,4,2,0.078956,0.000495,0.004665,0.000001
mpi,50,4,3,0.078585,0.000686,0.004665,0.000001
mpi,50,4,4,0.080102,0.000885,0.004608,0.000001
mpi,50,4,5,0.073385,0.001068,0.004613,0.000001
mpi,50,4,6,0.080111,0.001237,0.004610,0.000001
mpi,50,4,7,0.077006,0.001422,0.004605,0.000001
mpi,50,5,0,0.078057,0.001413,0.004461,0.000001
mpi,50,5,1,0.079760,0.000277,0.004461,0.000001
mpi,50,5,2,0.079886,0.000454,0.004461,0.000001
mpi,50,5,3,0.080000,0.000642,0.004461,0.000001
mpi,50,5,4,0.071732,0.000901,0.004455,0.000001
mpi,50,5,5,0.079350,0.001069,0.004458,0.000001
mpi,50,5,6,0.080153,0.001235,0.004455,0.000001
mpi,50,5,7,0.076181,0.001413,0.004453,0.000001
mpi,50,6,0,0.080862,0.001863,0.004617,0.000001
mpi,50,6,1,0.079790,0.000395,0.004441,0.000001
mpi,50,6,2,0.081125,0.000652,0.004617,0.000001
mpi,50,6,3,0.081265,0.000913,0.004617,0.000001
mpi,50,6,4,0.081352,0.001150,0.004836,0.000001
mpi,50,6,5,0.081545,0.001385,0.005277,0.000001
mpi,50,6,6,0.081301,0.001617,0.004834,0.000001
mpi,50,6,7,0.074633,0.001861,0.004836,0.000001
mpi,50,7,0,0.080709,0.001794,0.004604,0.000001
mpi,50,7,1,0.082407,0.000412,0.004604,0.000001
mpi,50,7,2,0.075712,0.000633,0.004604,0.000001
mpi,50,7,3,0.078837,0.000880,0.004604,0.000001
mpi,50,7,4,0.082155,0.001108,0.004604,0.000001
mpi,50,7,5,0.078085,0.001331,0.004604,0.000001
mpi,50,7,6,0.082472,0.001552,0.004604,0.000001
mpi,50,7,7,0.082428,0.001792,0.004604,0.000001
mpi,50,8,0,0.078124,0.001539,0.004491,0.000001
mpi,50,8,1,0.081463,0.000343,0.004495,0.000001
mpi,50,8,2,0.081599,0.000535,0.004491,0.000001
mpi,50,8,3,0.080948,0.000735,0.004491,0.000001
mpi,50,8,4,0.082991,0.000934,0.004491,0.000001
mpi,50,8,5,0.079855,0.001117,0.004495,0.000001
mpi,50,8,6,0.082195,0.001340,0.004491,0.000001
mpi,50,8,7,0.079193,0.001531,0.004492,0.000001
mpi,50,9,0,0.082772,0.001487,0.004657,0.000001
mpi,50,9,1,0.081114,0.000257,0.004657,0.000001
mpi,50,9,2,0.080197,0.000459,0.004657,0.000001
mpi,50,9,3,0.082719,0.000653,0.004657,0.000001
mpi,50,9,4,0.082539,0.000859,0.004657,0.000001
mpi,50,9,5,0.077243,0.001074,0.004657,0.000001
mpi,50,9,6,0.082359,0.001277,0.004657,0.000001
mpi,50,9,7,0.082688,0.001483,0.004657,0.000001
mpi,50,10,0,0.079318,0.001428,0.004333,0.000001
mpi,50,10,1,0.080958,0.000296,0.004333,0.000001
mpi,50,10,2,0.080948,0.000487,0.004333,0.000001
mpi,50,10,3,0.080754,0.000690,0.004333,0.000001
mpi,50,10,4,0.081390,0.000881,0.004333,0.000001
mpi,50,10,5,0.078573,0.001053,0.004333,0.000001
mpi,50,10,6,0.081390,0.001236,0.004333,0.000001
mpi,50,10,7,0.076912,0.001428,0.004333,0.000001
mpi,100,1,0,0.169972,0.003746,0.007117,0.000001
mpi,100,1,1,0.178493,0.000948,0.007117,0.000001
mpi,100,1,2,0.175567,0.001349,0.007117,0.000001
mpi,100,1,3,0.162216,0.001828,0.007117,0.000001
mpi,100,1,4,0.163864,0.002201,0.007117,0.000001
mpi,100,1,5,0.178272,0.002713,0.007117,0.000001
mpi,100,1,6,0.175074,0.003185,0.007117,0.000001
mpi,100,1,7,0.178529,0.003740,0.007117,0.000001
mpi,100,2,0,0.170101,0.003366,0.007243,0.000002
mpi,100,2,1,0.179092,0.000853,0.007243,0.000002
mpi,100,2,2,0.176476,0.001304,0.007243,0.000002
mpi,100,2,3,0.179160,0.001755,0.007243,0.000002
mpi,100,2,4,0.178349,0.002160,0.007243,0.000002
mpi,100,2,5,0.160956,0.002600,0.007243,0.000002
mpi,100,2,6,0.177023,0.003011,0.007243,0.000002
mpi,100,2,7,0.179561,0.003369,0.007243,0.000002
mpi,100,3,0,0.163410,0.003076,0.007254,0.000001
