mode,size_mb,rank,avg_time_s
mpi,1,0,0.070814
mpi,1,1,0.069985
mpi,1,2,0.070840
mpi,1,3,0.069779
mpi,5,0,0.422593
mpi,5,1,0.416546
mpi,5,2,0.424418
mpi,5,3,0.424324
mpi,10,0,0.891443
mpi,10,1,0.878876
mpi,10,2,0.861391
mpi,10,3,0.868889
mpi,50,0,5.988070
mpi,50,1,4.656473
mpi,50,2,4.929920
mpi,50,3,4.838005
mpi,100,0,12.669360
mpi,100,1,12.784420
mpi,100,2,12.857280
mpi,100,3,12.061010
