mode,size_mb,run,rank,time_s
mpi,10,3,4,0.797424
mpi,10,3,5,0.75011
mpi,10,3,6,0.792997
mpi,10,3,7,0.695007
mpi,10,4,0,0.694077
mpi,10,4,1,0.78601
mpi,10,4,2,0.709713
mpi,10,4,3,0.78684
mpi,10,4,4,0.801123
mpi,10,4,5,0.798831
mpi,10,4,6,0.687506
mpi,10,4,7,0.796188
mpi,10,5,0,0.732629
mpi,10,5,1,0.805698
mpi,10,5,2,0.709985
mpi,10,5,3,0.808097
mpi,10,5,4,0.809259
mpi,10,5,5,0.800673
mpi,10,5,6,0.751199
mpi,10,5,7,0.756515
mpi,10,6,0,0.769548
mpi,10,6,1,0.783653
mpi,10,6,2,0.840055
mpi,10,6,3,0.809077
mpi,10,6,4,0.850289
mpi,10,6,5,0.842579
mpi,10,6,6,0.85497
mpi,10,6,7,0.750847
mpi,10,7,0,0.816778
mpi,10,7,1,0.723215
mpi,10,7,2,0.798657
mpi,10,7,3,0.820233
mpi,10,7,4,0.823068
mpi,10,7,5,0.77059
mpi,10,7,6,0.787694
mpi,10,7,7,0.730156
mpi,10,8,0,0.801256
mpi,10,8,1,0.760297
mpi,10,8,2,0.724983
mpi,10,8,3,0.757843
mpi,10,8,4,0.80264
mpi,10,8,5,0.73458
mpi,10,8,6,0.789995
mpi,10,8,7,0.711704
mpi,10,9,0,0.803126
mpi,10,9,1,0.801831
mpi,10,9,2,0.701081
mpi,10,9,3,0.800271
mpi,10,9,4,0.724183
mpi,10,9,5,0.796987
mpi,10,9,6,0.775961
mpi,10,9,7,0.710349
mpi,10,10,0,0.812044
mpi,10,10,1,0.7968
mpi,10,10,2,0.814789
mpi,10,10,3,0.758442
mpi,10,10,4,0.813511
mpi,10,10,5,0.698389
mpi,10,10,6,0.761592
mpi,10,10,7,0.727991
mpi,50,1,0,4.05207
mpi,50,1,1,4.28915
mpi,50,1,2,4.44787
mpi,50,1,3,4.40593
mpi,50,1,4,4.44617
mpi,50,1,5,3.87025
mpi,50,1,6,4.42534
mpi,50,1,7,4.03289
mpi,50,2,0,4.04163
mpi,50,2,1,4.43461
mpi,50,2,2,4.43394
mpi,50,2,3,4.45144
mpi,50,2,4,3.86471
mpi,50,2,5,4.25916
mpi,50,2,6,3.94634
mpi,50,2,7,4.45398
mpi,50,3,0,4.06326
mpi,50,3,1,4.36441
mpi,50,3,2,4.44231
mpi,50,3,3,4.45248
mpi,50,3,4,4.2683
mpi,50,3,5,4.43691
mpi,50,3,6,3.95328
mpi,50,3,7,4.4322
mpi,50,4,0,4.28739
mpi,50,4,1,4.31323
mpi,50,4,2,4.33609
mpi,50,4,3,4.35535
mpi,50,4,4,3.98727
mpi,50,4,5,4.10231
mpi,50,4,6,3.77245
mpi,50,4,7,4.19628
mpi,50,5,0,4.44933
mpi,50,5,1,4.29607
