mode,size_mb,run,ranks,time_io_max_s,time_alloc_max_s,time_sa_max_s,time_merge_s,time_lcp_s,time_lrs_scan_s,time_compute_pure_s,time_total_compute_s,time_transfers_comm_s,throughput_MBps,speedup,efficiency_pct,memory_overhead_ratio_pct
mpi,500,1,4,0.025449,0.000001,1.962097,2.454893,1.114678,0.012767,5.531668,5.544436,0.011994,4.304221,1.266718,31.667943,0.000027
mpi,500,2,4,0.025524,0.000001,1.947903,2.503229,1.114662,0.012394,5.565794,5.578190,0.012413,4.277830,1.258951,31.473774,0.000026
mpi,500,3,4,0.028824,0.000001,1.960260,2.429408,1.121946,0.012503,5.511615,5.524119,0.012267,4.319882,1.271327,31.783164,0.000027
mpi,500,4,4,0.026441,0.000001,1.938982,2.399445,1.101272,0.012391,5.439699,5.452091,0.012822,4.376993,1.288134,32.203354,0.000027
mpi,500,5,4,0.025594,0.000002,1.968697,2.484581,1.120193,0.012557,5.573471,5.586030,0.011455,4.271938,1.257217,31.430424,0.000034
mpi,500,6,4,0.025918,0.000002,2.009440,2.560124,1.094219,0.012407,5.663784,5.676192,0.012350,4.203819,1.237170,30.929244,0.000035
mpi,500,7,4,0.025668,0.000001,2.012596,2.466642,1.110952,0.012817,5.590190,5.603009,0.012402,4.259162,1.253457,31.336420,0.000025
mpi,500,8,4,0.025674,0.000001,1.977228,2.512703,1.105714,0.012393,5.595644,5.608039,0.012289,4.255010,1.252235,31.305876,0.000026
mpi,500,9,4,0.025960,0.000001,1.968754,2.437050,1.104445,0.012486,5.510249,5.522736,0.013015,4.320952,1.271642,31.791038,0.000025
mpi,500,10,4,0.025825,0.000001,1.955220,2.398783,1.157105,0.012447,5.511107,5.523556,0.012366,4.320279,1.271444,31.786089,0.000025
