mode,size_mb,run,rank,time_sa_local_s,time_comm_s,time_io_s,time_alloc_s
mpi,100,4,1,0.619780,0.002594,0.002458,0.000001
mpi,100,5,0,0.627334,0.002502,0.002543,0.000002
mpi,100,5,1,0.614211,0.002502,0.002543,0.000002
mpi,100,6,0,0.624176,0.002504,0.002445,0.000001
mpi,100,6,1,0.611767,0.002505,0.002445,0.000001
mpi,100,7,0,0.626787,0.002594,0.002412,0.000001
mpi,100,7,1,0.615513,0.002594,0.002412,0.000001
mpi,100,8,0,0.622301,0.002411,0.002596,0.000001
mpi,100,8,1,0.610784,0.002411,0.002596,0.000001
mpi,100,9,0,0.624799,0.002618,0.002858,0.000001
mpi,100,9,1,0.614048,0.002609,0.002858,0.000001
mpi,100,10,0,0.627288,0.002480,0.002459,0.000001
mpi,100,10,1,0.614729,0.002480,0.002459,0.000001
mpi,200,1,0,1.360124,0.004126,0.004540,0.000001
mpi,200,1,1,1.341323,0.004122,0.004540,0.000001
mpi,200,2,0,1.357667,0.004154,0.006661,0.000001
mpi,200,2,1,1.330251,0.004154,0.004640,0.000001
mpi,200,3,0,1.383727,0.004007,0.005588,0.000001
mpi,200,3,1,1.361388,0.004007,0.005588,0.000001
mpi,200,4,0,1.382136,0.004012,0.006570,0.000001
mpi,200,4,1,1.362838,0.004012,0.004528,0.000001
mpi,200,5,0,1.390041,0.003989,0.004663,0.000001
mpi,200,5,1,1.369995,0.003989,0.004660,0.000001
mpi,200,6,0,1.362299,0.004132,0.007078,0.000001
mpi,200,6,1,1.377788,0.004132,0.004932,0.000001
mpi,200,7,0,1.593461,0.004190,0.004880,0.000002
mpi,200,7,1,1.573303,0.004190,0.004880,0.000002
mpi,200,8,0,1.394875,0.004259,0.004613,0.000001
mpi,200,8,1,1.359070,0.004259,0.004613,0.000001
mpi,200,9,0,1.425713,0.004199,0.004655,0.000001
mpi,200,9,1,1.397290,0.004200,0.004652,0.000001
mpi,200,10,0,1.454879,0.004556,0.004635,0.000001
mpi,200,10,1,1.429940,0.004556,0.004632,0.000001
mpi,500,1,0,3.917472,0.010529,0.010689,0.000002
mpi,500,1,1,3.878712,0.010529,0.010685,0.000001
mpi,500,2,0,3.656699,0.010719,0.010769,0.000001
mpi,500,2,1,3.604413,0.010719,0.010769,0.000001
mpi,500,3,0,3.663625,0.010879,0.011185,0.000002
mpi,500,3,1,3.608687,0.010879,0.011185,0.000002
mpi,500,4,0,3.743286,0.010593,0.011201,0.000001
mpi,500,4,1,3.723729,0.010593,0.011201,0.000001
mpi,500,5,0,3.632804,0.010981,0.013890,0.000001
mpi,500,5,1,3.585770,0.010980,0.010968,0.000001
mpi,500,6,0,3.627599,0.010272,0.011183,0.000001
mpi,500,6,1,3.582199,0.010274,0.011183,0.000001
mpi,500,7,0,3.742126,0.010477,0.011097,0.000001
mpi,500,7,1,3.761459,0.010489,0.011102,0.000001
mpi,500,8,0,3.713622,0.011491,0.011875,0.000011
mpi,500,8,1,3.672384,0.011491,0.011875,0.000010
mpi,500,9,0,3.683134,0.011030,0.011259,0.000001
mpi,500,9,1,3.638235,0.011029,0.011259,0.000001
mpi,500,10,0,3.630326,0.010409,0.010800,0.000001
mpi,500,10,1,3.597615,0.010409,0.010800,0.000001
