mode,size_mb,run,rank,time_sa_local_s,time_comm_s,time_io_s,time_alloc_s
mpi,1,1,0,0.003085,0.000022,0.000655,0.000001
mpi,1,1,1,0.003078,0.000022,0.000655,0.000001
mpi,1,2,0,0.003072,0.000020,0.000594,0.000001
mpi,1,2,1,0.003057,0.000020,0.000595,0.000001
mpi,1,3,0,0.003165,0.000020,0.000793,0.000001
mpi,1,3,1,0.003083,0.000020,0.000578,0.000001
mpi,1,4,0,0.003312,0.000043,0.000649,0.000001
mpi,1,4,1,0.003277,0.000043,0.000652,0.000001
mpi,1,5,0,0.003180,0.000020,0.000650,0.000001
mpi,1,5,1,0.003142,0.000020,0.000650,0.000001
mpi,1,6,0,0.003168,0.000020,0.000806,0.000001
mpi,1,6,1,0.003094,0.000020,0.000603,0.000001
mpi,1,7,0,0.003124,0.000021,0.000581,0.000001
mpi,1,7,1,0.003076,0.000021,0.000581,0.000001
mpi,1,8,0,0.003087,0.000020,0.000868,0.000001
mpi,1,8,1,0.003037,0.000020,0.000644,0.000001
mpi,1,9,0,0.003111,0.000020,0.000669,0.000001
mpi,1,9,1,0.003081,0.000020,0.000669,0.000001
mpi,1,10,0,0.003067,0.000020,0.000604,0.000001
mpi,1,10,1,0.003015,0.000020,0.000604,0.000001
mpi,50,1,0,0.299456,0.001053,0.001513,0.000001
mpi,50,1,1,0.299213,0.001049,0.001513,0.000001
mpi,50,2,0,0.308144,0.001146,0.001452,0.000001
mpi,50,2,1,0.309013,0.001146,0.001452,0.000001
mpi,50,3,0,0.310838,0.001323,0.001561,0.000001
mpi,50,3,1,0.308427,0.001325,0.001561,0.000001
mpi,50,4,0,0.298613,0.001181,0.001542,0.000001
mpi,50,4,1,0.300166,0.001181,0.001542,0.000001
mpi,50,5,0,0.298369,0.001129,0.001534,0.000001
mpi,50,5,1,0.301830,0.001129,0.001534,0.000001
mpi,50,6,0,0.306257,0.001594,0.001680,0.000001
mpi,50,6,1,0.304639,0.001596,0.001680,0.000001
mpi,50,7,0,0.300896,0.001089,0.002349,0.000001
mpi,50,7,1,0.303145,0.001089,0.001598,0.000001
mpi,50,8,0,0.303319,0.001504,0.001486,0.000001
mpi,50,8,1,0.300605,0.001504,0.001486,0.000001
mpi,50,9,0,0.300912,0.001176,0.001630,0.000001
mpi,50,9,1,0.303233,0.001176,0.001630,0.000001
mpi,50,10,0,0.302793,0.001020,0.001592,0.000001
mpi,50,10,1,0.302836,0.001020,0.001592,0.000001
mpi,100,1,0,0.653512,0.002402,0.002947,0.000001
mpi,100,1,1,0.643447,0.002400,0.002947,0.000001
mpi,100,2,0,0.702744,0.003213,0.002458,0.000001
mpi,100,2,1,0.682348,0.003212,0.002458,0.000001
mpi,100,3,0,0.645438,0.002740,0.002647,0.000001
mpi,100,3,1,0.636115,0.002740,0.002647,0.000001
mpi,100,4,0,0.629103,0.002594,0.002458,0.000001
