mode,size_mb,ranks,avg_time_io_max_s,avg_time_alloc_max_s,avg_time_sa_max_s,avg_time_merge_s,avg_time_lcp_s,avg_time_lrs_scan_s,avg_time_compute_pure_s,avg_time_total_compute_s,avg_time_transfers_comm_s,avg_throughput_MBps,avg_speedup,avg_efficiency_pct,avg_memory_overhead_ratio_pct
mpi,1,2,0.000687,0.000001,0.003137,0.001237,0.000485,0.000027,0.004859,0.004887,0.000023,9.804798,1.191964,59.598203,0.026620
mpi,50,2,0.001634,0.000001,0.304009,0.085678,0.058395,0.001355,0.448082,0.449438,0.001222,5.314766,0.871052,43.552605,0.000298
mpi,100,2,0.002582,0.000001,0.638348,0.180595,0.148825,0.002438,0.967769,0.970208,0.002606,4.929312,1.042889,52.144463,0.000147
mpi,200,2,0.005388,0.000001,1.412041,0.487482,0.386161,0.005043,2.285683,2.290728,0.004163,4.171756,1.015164,50.758198,0.000064
mpi,500,2,0.011395,0.000002,3.703003,2.126953,1.119675,0.012379,6.949631,6.962013,0.010739,3.428910,1.009117,50.455833,0.000035
