mode,size_mb,run,ranks,time_io_max_s,time_alloc_max_s,time_sa_max_s,time_merge_s,time_lcp_s,time_lrs_scan_s,time_compute_pure_s,time_total_compute_s,time_transfers_comm_s,throughput_MBps,speedup,efficiency_pct,memory_overhead_ratio_pct
mpi,1,1,2,0.000655,0.000001,0.003085,0.001223,0.000471,0.000025,0.004779,0.004805,0.000022,9.964718,1.211405,60.570271,0.020461
mpi,1,2,2,0.000595,0.000001,0.003072,0.001227,0.000499,0.000026,0.004798,0.004825,0.000020,9.924832,1.206556,60.327823,0.020380
mpi,1,3,2,0.000793,0.000001,0.003165,0.001242,0.000490,0.000026,0.004897,0.004924,0.000020,9.724806,1.182239,59.111975,0.028522
mpi,1,4,2,0.000652,0.000001,0.003312,0.001279,0.000508,0.000026,0.005098,0.005126,0.000043,9.339814,1.135436,56.771811,0.019179
mpi,1,5,2,0.000650,0.000001,0.003180,0.001259,0.000465,0.000026,0.004904,0.004931,0.000020,9.709849,1.180421,59.021056,0.029904
mpi,1,6,2,0.000806,0.000001,0.003168,0.001234,0.000507,0.000025,0.004909,0.004936,0.000020,9.700040,1.179229,58.961435,0.028449
mpi,1,7,2,0.000581,0.000001,0.003124,0.001233,0.000473,0.000025,0.004830,0.004856,0.000021,9.859242,1.198583,59.929137,0.028916
mpi,1,8,2,0.000868,0.000001,0.003087,0.001218,0.000474,0.000025,0.004779,0.004806,0.000020,9.964424,1.211370,60.568484,0.030667
mpi,1,9,2,0.000669,0.000001,0.003111,0.001228,0.000504,0.000025,0.004843,0.004870,0.000020,9.832228,1.195299,59.764934,0.028837
mpi,1,10,2,0.000604,0.000001,0.003067,0.001222,0.000460,0.000037,0.004749,0.004787,0.000020,10.028029,1.219102,60.955103,0.030884
mpi,50,1,2,0.001513,0.000001,0.299456,0.088333,0.064015,0.001326,0.451804,0.453132,0.001053,5.269878,0.863695,43.184763,0.000309
mpi,50,2,2,0.001452,0.000001,0.309013,0.082883,0.054805,0.001288,0.446701,0.447990,0.001146,5.330075,0.873561,43.678063,0.000219
mpi,50,3,2,0.001561,0.000001,0.310838,0.087133,0.057446,0.001253,0.455417,0.456671,0.001325,5.228075,0.856844,42.842205,0.000307
mpi,50,4,2,0.001542,0.000001,0.300166,0.083602,0.057000,0.001261,0.440768,0.442031,0.001181,5.401822,0.885320,44.266004,0.000317
mpi,50,5,2,0.001534,0.000001,0.301830,0.083378,0.074103,0.001819,0.459311,0.461131,0.001129,5.183745,0.849579,42.478941,0.000213
mpi,50,6,2,0.001680,0.000001,0.306257,0.087906,0.061119,0.001721,0.455282,0.457004,0.001596,5.229623,0.857098,42.854890,0.000322
mpi,50,7,2,0.002349,0.000001,0.303145,0.087062,0.054635,0.001261,0.444842,0.446105,0.001089,5.352356,0.877213,43.860646,0.000330
mpi,50,8,2,0.001486,0.000001,0.303319,0.086712,0.051764,0.001237,0.441795,0.443033,0.001504,5.389271,0.883263,44.163150,0.000316
mpi,50,9,2,0.001630,0.000001,0.303233,0.083736,0.053424,0.001169,0.440394,0.441564,0.001176,5.406419,0.886073,44.303673,0.000317
mpi,50,10,2,0.001592,0.000001,0.302836,0.086034,0.055636,0.001215,0.444507,0.445723,0.001020,5.356392,0.877874,43.893718,0.000330
mpi,100,1,2,0.002947,0.000001,0.653512,0.204280,0.144280,0.002524,1.002072,1.004598,0.002402,4.752057,1.005388,50.269379,0.000139
mpi,100,2,2,0.002458,0.000001,0.702744,0.215440,0.165319,0.002457,1.083503,1.085961,0.003213,4.394917,0.929828,46.491388,0.000129
mpi,100,3,2,0.002647,0.000001,0.645438,0.172133,0.150616,0.002637,0.968186,0.970825,0.002740,4.918376,1.040575,52.028772,0.000152
mpi,100,4,2,0.002458,0.000001,0.629103,0.180982,0.151574,0.002411,0.961659,0.964071,0.002594,4.951760,1.047638,52.381923,0.000145
mpi,100,5,2,0.002543,0.000002,0.627334,0.173205,0.144182,0.002435,0.944721,0.947158,0.002502,5.040542,1.066422,53.321102,0.000200
