mode,size_mb,run,rank,time_s
mpi,1,1,0,0.122234
mpi,1,1,1,0.120367
mpi,1,2,0,0.122489
mpi,1,2,1,0.120163
mpi,1,3,0,0.124277
mpi,1,3,1,0.121611
mpi,1,4,0,0.125842
mpi,1,4,1,0.123006
mpi,1,5,0,0.127077
mpi,1,5,1,0.127404
mpi,1,6,0,0.126131
mpi,1,6,1,0.122671
mpi,1,7,0,0.122284
mpi,1,7,1,0.121318
mpi,1,8,0,0.125697
mpi,1,8,1,0.122613
mpi,1,9,0,0.122615
mpi,1,9,1,0.119645
mpi,1,10,0,0.127979
mpi,1,10,1,0.123667
mpi,5,1,0,0.735228
mpi,5,1,1,0.750885
mpi,5,2,0,0.716673
mpi,5,2,1,0.729667
mpi,5,3,0,0.731527
mpi,5,3,1,0.736182
mpi,5,4,0,0.741766
mpi,5,4,1,0.745356
mpi,5,5,0,0.733719
mpi,5,5,1,0.741299
mpi,5,6,0,0.699337
mpi,5,6,1,0.699271
mpi,5,7,0,0.722533
mpi,5,7,1,0.70452
mpi,5,8,0,0.736116
mpi,5,8,1,0.727364
mpi,5,9,0,0.702265
mpi,5,9,1,0.713742
mpi,5,10,0,0.73176
mpi,5,10,1,0.747961
mpi,10,1,0,1.53925
mpi,10,1,1,1.56046
mpi,10,2,0,1.51813
mpi,10,2,1,1.54172
mpi,10,3,0,1.55482
mpi,10,3,1,1.5617
mpi,10,4,0,1.54928
mpi,10,4,1,1.5664
mpi,10,5,0,1.57832
mpi,10,5,1,1.58879
mpi,10,6,0,1.52581
mpi,10,6,1,1.54834
mpi,10,7,0,1.52259
mpi,10,7,1,1.54299
mpi,10,8,0,1.51225
mpi,10,8,1,1.52229
mpi,10,9,0,1.49169
mpi,10,9,1,1.5111
mpi,10,10,0,1.50254
mpi,10,10,1,1.52213
mpi,50,1,0,8.31544
mpi,50,1,1,8.3008
mpi,50,2,0,8.30938
mpi,50,2,1,8.26453
mpi,50,3,0,8.28163
mpi,50,3,1,8.30231
mpi,50,4,0,8.46111
mpi,50,4,1,8.41207
mpi,50,5,0,8.30993
mpi,50,5,1,8.29059
mpi,50,6,0,8.32135
mpi,50,6,1,8.25669
mpi,50,7,0,8.30371
mpi,50,7,1,8.24235
mpi,50,8,0,8.33149
mpi,50,8,1,8.27989
mpi,50,9,0,8.30619
mpi,50,9,1,8.31557
mpi,50,10,0,8.31807
mpi,50,10,1,8.25842
mpi,100,1,0,17.0898
mpi,100,1,1,16.7742
mpi,100,2,0,16.9999
mpi,100,2,1,16.7633
mpi,100,3,0,16.9986
mpi,100,3,1,16.7085
mpi,100,4,0,17.0693
mpi,100,4,1,16.7418
mpi,100,5,0,17.169
mpi,100,5,1,16.871
mpi,100,6,0,17.5889
mpi,100,6,1,17.2006
mpi,100,7,0,17.1828
mpi,100,7,1,16.94
mpi,100,8,0,17.3168
mpi,100,8,1,16.9948
mpi,100,9,0,17.184
mpi,100,9,1,16.8692
mpi,100,10,0,17.03
mpi,100,10,1,16.7213
mpi,500,1,0,100.452
mpi,500,1,1,100.133
mpi,500,2,0,92.9014
mpi,500,2,1,92.7214
mpi,500,3,0,93.6073
mpi,500,3,1,93.3203
mpi,500,4,0,91.5267
mpi,500,4,1,91.9869
mpi,500,5,0,93.1683
mpi,500,5,1,93.75
mpi,500,6,0,90.8079
mpi,500,6,1,91.1179
mpi,500,7,0,93.9261
mpi,500,7,1,93.8642
mpi,500,8,0,94.8689
mpi,500,8,1,94.3342
mpi,500,9,0,89.9873
mpi,500,9,1,90.865
mpi,500,10,0,91.4466
mpi,500,10,1,91.7568
