mode,size_mb,run,rank,time_s
mpi,100,6,3,11.8545
mpi,100,7,0,12.5729
mpi,100,7,1,12.7999
mpi,100,7,2,12.8304
mpi,100,7,3,12.1379
mpi,100,8,0,12.9222
mpi,100,8,1,13.018
mpi,100,8,2,13.0483
mpi,100,8,3,12.1175
mpi,100,9,0,12.614
mpi,100,9,1,12.6891
mpi,100,9,2,12.7873
mpi,100,9,3,11.8997
mpi,100,10,0,12.6383
mpi,100,10,1,12.8998
mpi,100,10,2,12.9123
mpi,100,10,3,12.152
