mode,size_mb,run,ranks,threads_per_rank,time_merge_s,time_lcp_s,time_lrs_scan_s,time_compute_pure_s,time_total_compute_s,time_transfers_comm_s,throughput_MBps,speedup,efficiency_pct,memory_overhead_ratio_pct
mpi+omp,1,1,4,4,0.045159,0.012250,0.000543,0.116436,0.116981,0.000478,8.588420,1.010900,25.272499,0.001259
mpi+omp,1,2,4,4,0.045544,0.014522,0.000526,0.119281,0.119808,0.000486,8.383596,0.986791,24.669779,0.001171
mpi+omp,1,3,4,4,0.045144,0.012563,0.000512,0.118738,0.119251,0.000478,8.421926,0.991303,24.782571,0.001235
mpi+omp,1,4,4,4,0.045126,0.013101,0.000513,0.117428,0.117942,0.000481,8.515845,1.002358,25.058939,0.001248
mpi+omp,1,5,4,4,0.045287,0.014107,0.000534,0.118596,0.119131,0.000526,8.431990,0.992487,24.812183,0.000825
mpi+omp,1,6,4,4,0.045183,0.016621,0.000534,0.120911,0.121447,0.000549,8.270513,0.973481,24.337017,0.001155
mpi+omp,1,7,4,4,0.045099,0.012523,0.000545,0.116742,0.117289,0.000479,8.565869,1.008246,25.206141,0.001256
mpi+omp,1,8,4,4,0.045378,0.012427,0.000509,0.117018,0.117529,0.000480,8.545685,1.005870,25.146747,0.001194
mpi+omp,1,9,4,4,0.045371,0.012222,0.000535,0.116644,0.117181,0.000551,8.573065,1.009093,25.227315,0.001257
mpi+omp,1,10,4,4,0.045198,0.012529,0.000513,0.116922,0.117437,0.000457,8.552684,1.006694,25.167341,0.001255
mpi+omp,50,1,4,4,6.368500,2.399692,0.026230,13.133079,13.159310,0.027452,3.807180,1.315155,32.878865,0.000011
mpi+omp,50,2,4,4,6.450029,2.400560,0.026321,13.237549,13.263872,0.027750,3.777134,1.304775,32.619387,0.000011
mpi+omp,50,3,4,4,6.420632,2.399074,0.026378,13.185055,13.211434,0.027431,3.792172,1.309970,32.749255,0.000011
mpi+omp,50,4,4,4,6.482427,2.390376,0.026144,13.233176,13.259321,0.027842,3.778383,1.305207,32.630166,0.000011
mpi+omp,50,5,4,4,6.270176,2.391796,0.026267,13.011028,13.037296,0.027558,3.842894,1.327492,33.187288,0.000011
mpi+omp,50,6,4,4,6.440987,2.396719,0.026252,13.208279,13.234532,0.027718,3.785505,1.307667,32.691672,0.000011
mpi+omp,50,7,4,4,6.441102,2.396039,0.027150,13.213263,13.240415,0.029041,3.784077,1.307174,32.679341,0.000011
mpi+omp,50,8,4,4,6.285846,2.393562,0.026388,13.027541,13.053930,0.027600,3.838023,1.325809,33.145220,0.000011
mpi+omp,50,9,4,4,6.429781,2.403401,0.026197,13.192299,13.218498,0.027623,3.790090,1.309251,32.731271,0.000011
mpi+omp,50,10,4,4,6.515712,2.402721,0.026232,13.281829,13.308062,0.027648,3.764542,1.300426,32.510638,0.000011
mpi+omp,100,1,4,4,14.388100,4.958080,0.054705,28.364533,28.419239,0.054923,3.525530,1.240721,31.018029,0.000005
mpi+omp,100,2,4,4,14.594764,4.895717,0.052515,28.628124,28.680641,0.055812,3.493069,1.229297,30.732433,0.000007
mpi+omp,100,3,4,4,14.822279,4.934283,0.054970,28.933161,28.988154,0.055129,3.456242,1.216337,30.408426,0.000079
mpi+omp,100,4,4,4,14.878153,5.104247,0.052664,29.052321,29.104986,0.055158,3.442066,1.211348,30.283704,0.000005
mpi+omp,100,5,4,4,14.436111,4.848411,0.052766,28.360509,28.413276,0.055817,3.526030,1.240897,31.022430,0.000005
mpi+omp,100,6,4,4,14.320620,5.048179,0.093407,28.411478,28.504887,0.055661,3.519704,1.238671,30.966777,0.000005
mpi+omp,100,7,4,4,14.619403,4.865842,0.052819,28.659014,28.711834,0.055162,3.489304,1.227972,30.699308,0.000005
mpi+omp,100,8,4,4,14.636994,4.907191,0.053042,28.623830,28.676874,0.055810,3.493593,1.229482,30.737043,0.000005
mpi+omp,100,9,4,4,14.484902,4.863606,0.052747,28.412431,28.465180,0.055728,3.519586,1.238630,30.965738,0.000005
mpi+omp,100,10,4,4,14.338556,4.866888,0.053182,28.242857,28.296040,0.055037,3.540718,1.246066,31.151661,0.000003
mpi+omp,200,1,4,4,30.138950,10.076949,0.105451,58.891941,58.997393,0.111355,3.396050,1.263025,31.575616,0.000002
mpi+omp,200,2,4,4,30.552408,10.465928,0.106133,60.161547,60.267681,0.110946,3.324383,1.236371,30.909267,0.000002
mpi+omp,200,3,4,4,30.446966,10.187542,0.108213,60.083853,60.192069,0.110904,3.328681,1.237969,30.949235,0.000003
mpi+omp,200,4,4,4,30.607655,10.293423,0.108132,59.780156,59.888289,0.112976,3.345592,1.244259,31.106465,0.000002
mpi+omp,200,5,4,4,30.601348,10.238560,0.107783,59.506319,59.614103,0.112053,3.360988,1.249984,31.249611,0.000002
mpi+omp,200,6,4,4,30.574640,10.261650,0.116059,59.531684,59.647744,0.111105,3.359556,1.249452,31.236296,0.000002
mpi+omp,200,7,4,4,30.091497,10.096000,0.104889,58.985560,59.090450,0.111626,3.390660,1.261020,31.525501,0.000002
