mode,size_mb,streams,run,time_io_s,time_alloc_host_dev_s,time_h2d_s,time_kernel_gpu_s,time_lcp_cpu_s,time_d2h_s,time_compute_pure_s,time_total_compute_s,time_transfers_comm_s,throughput_MBps,speedup,efficiency_pct,memory_overhead_ratio_pct
cuda_ms,50,2,10,0.043411,0.112363,0.007793,2.806708,2.316095,19.349019,5.122803,5.235167,19.356812,9.760281,3.371597,337.159722,371.892189
cuda_ms,50,4,1,0.042080,0.113217,0.007776,3.704206,2.382348,19.693136,6.086554,6.199771,19.700912,8.214829,2.837735,283.773522,319.594515
cuda_ms,50,4,2,0.042350,0.112112,0.007778,3.703668,2.375643,19.693326,6.079311,6.191423,19.701104,8.224616,2.841116,284.111616,320.010706
cuda_ms,50,4,3,0.042363,0.113686,0.007778,3.796052,2.374496,19.694215,6.170548,6.284234,19.701993,8.103008,2.799108,279.910766,315.323694
cuda_ms,50,4,4,0.041790,0.117957,0.007775,3.705667,2.380598,19.693889,6.086266,6.204222,19.701664,8.215218,2.837870,283.786978,319.453752
cuda_ms,50,4,5,0.043085,0.112737,0.007778,3.704052,2.382738,19.694300,6.086789,6.199526,19.702078,8.214511,2.837626,283.762556,319.618213
cuda_ms,50,4,6,0.043415,0.113406,0.007781,3.795256,2.379944,19.692390,6.175200,6.288606,19.700171,8.096904,2.796999,279.699929,315.071064
cuda_ms,50,4,7,0.041990,0.112555,0.007777,3.703433,2.370640,19.692401,6.074073,6.186628,19.700177,8.231709,2.843566,284.356625,320.250902
cuda_ms,50,4,8,0.043818,0.113577,0.007802,3.795259,2.424599,19.697171,6.219858,6.333435,19.704973,8.038769,2.776917,277.691692,312.919439
cuda_ms,50,4,9,0.043996,0.150627,0.007786,3.710651,2.401490,19.702053,6.112141,6.262768,19.709839,8.180440,2.825856,282.585578,317.119638
cuda_ms,50,4,10,0.044325,0.115743,0.007777,3.796562,2.378230,19.692772,6.174793,6.290536,19.700548,8.097438,2.797184,279.718363,315.017552
