mode,size_mb,ranks,threads_per_rank,avg_time_io_max_s,avg_time_alloc_max_s,avg_time_sa_max_s,avg_time_merge_s,avg_time_lcp_s,avg_time_lrs_scan_s,avg_time_compute_pure_s,avg_time_total_compute_s,avg_time_transfers_comm_s,avg_throughput_MBps,avg_speedup,avg_efficiency_pct,avg_memory_overhead_ratio_pct
mpi+omp,1,2,4,0.000631,0.000001,0.003451,0.001264,0.000505,0.000029,0.005219,0.005249,0.000022,9.128654,1.109765,55.488279,0.025808
mpi+omp,50,2,4,0.001903,0.000001,0.303806,0.085143,0.052961,0.001242,0.441909,0.443153,0.001174,5.388436,0.883126,44.156308,0.000324
mpi+omp,100,2,4,0.002770,0.000001,0.627491,0.181143,0.146425,0.002469,0.955058,0.957528,0.002598,4.989693,1.055664,52.783196,0.000156
mpi+omp,200,2,4,0.005127,0.000001,1.371003,0.449998,0.386902,0.005289,2.207903,2.213193,0.004152,4.316310,1.050340,52.517004,0.000063
mpi+omp,500,2,4,0.010959,0.000001,3.730498,2.240155,1.152972,0.013502,7.123625,7.137128,0.010088,3.343875,0.984091,49.204556,0.000019
