mode,size_mb,run,ranks,threads_per_rank,time_io_max_s,time_alloc_max_s,time_sa_max_s,time_merge_s,time_lcp_s,time_lrs_scan_s,time_compute_pure_s,time_total_compute_s,time_transfers_comm_s,throughput_MBps,speedup,efficiency_pct,memory_overhead_ratio_pct
mpi+omp,1,1,2,4,0.000675,0.000001,0.003396,0.001253,0.000478,0.000026,0.005126,0.005153,0.000020,9.289679,1.129341,56.467064,0.019076
mpi+omp,1,2,2,4,0.000611,0.000001,0.003446,0.001243,0.000510,0.000026,0.005199,0.005226,0.000024,9.159022,1.113457,55.672872,0.028208
mpi+omp,1,3,2,4,0.000627,0.000001,0.003436,0.001239,0.000490,0.000026,0.005166,0.005193,0.000029,9.218090,1.120638,56.031914,0.027036
mpi+omp,1,4,2,4,0.000594,0.000001,0.003505,0.001236,0.000511,0.000026,0.005251,0.005278,0.000023,9.068631,1.102469,55.123432,0.027930
mpi+omp,1,5,2,4,0.000770,0.000001,0.003411,0.001276,0.000470,0.000026,0.005157,0.005185,0.000020,9.233695,1.122535,56.126766,0.027062
mpi+omp,1,6,2,4,0.000582,0.000001,0.003453,0.001226,0.000531,0.000026,0.005210,0.005237,0.000021,9.139747,1.111114,55.555705,0.028149
mpi+omp,1,7,2,4,0.000607,0.000001,0.003540,0.001445,0.000593,0.000049,0.005578,0.005628,0.000023,8.537106,1.037851,51.892568,0.026293
mpi+omp,1,8,2,4,0.000615,0.000001,0.003461,0.001238,0.000473,0.000026,0.005171,0.005198,0.000020,9.208130,1.119427,55.971369,0.018908
mpi+omp,1,9,2,4,0.000603,0.000001,0.003441,0.001237,0.000487,0.000032,0.005165,0.005198,0.000021,9.219334,1.120790,56.039476,0.028394
mpi+omp,1,10,2,4,0.000624,0.000001,0.003420,0.001243,0.000506,0.000026,0.005169,0.005196,0.000020,9.213107,1.120033,56.001625,0.027021
mpi+omp,50,1,2,4,0.001525,0.000001,0.307717,0.086450,0.054383,0.001214,0.448550,0.449766,0.001117,5.308103,0.869960,43.498006,0.000311
mpi+omp,50,2,2,4,0.001550,0.000001,0.303726,0.086073,0.053674,0.001302,0.443473,0.444776,0.001137,5.368879,0.879921,43.996048,0.000331
mpi+omp,50,3,2,4,0.001526,0.000001,0.299861,0.083212,0.052652,0.001237,0.435724,0.436963,0.001041,5.464352,0.895568,44.778414,0.000321
mpi+omp,50,4,2,4,0.002261,0.000001,0.299908,0.085469,0.051385,0.001199,0.436763,0.437963,0.001165,5.451364,0.893440,44.671982,0.000320
mpi+omp,50,5,2,4,0.002225,0.000001,0.302843,0.084035,0.052358,0.001224,0.439236,0.440462,0.001050,5.420665,0.888408,44.420411,0.000334
